#China superregion
660 = "西双版纳" 	# Saiseungbannap 	# Sibsongbanna
1015 = "冲绳" 	# Chungsing 	# Okinawa
1017 = "周防" 	# Chowfong 	# Suo
1018 = "出云" 	# Chutwan 	# Izumo
1019 = "播磨" 	# Bawmaw 	# Harima
1020 = "京都" 	# Gingdo 	# Kyoto
1021 = "摄津" 	# Sipjun 	# Settsu
1023 = "越前" 	# Yuetchin 	# Echizen
1024 = "越后" 	# Yuethau 	# Echigo
1025 = "羽前" 	# Yuchin 	# Uzen
1026 = "陆前" 	# Lukchin 	# Rikuzen
1027 = "常陆" 	# Seungluk 	# Hitachi
1028 = "武藏" 	# Mojong 	# Musashi
1029 = "甲斐" 	# Gapfei 	# Kai
1030 = "尾张" 	# Meyjeung 	# Owari
1031 = "上川" 	# Seungchuen 	# Kamikawa
#1032 The Kurils
1818 = "筑前" 	# Jukchin 	# Chikuzen
1819 = "土佐" 	# Tojaw 	# Tosa
1820 = "阿波" 	# A-baw 	# Awa
1825 = "安艺" 	# On-ngai 	# Aki
1830 = "但马" 	# Danma 	# Tajima
1832 = "大和" 	# Daiwo 	# Yamato
1835 = "美浓" 	# Meynung 	# Mino
1837 = "越中" 	# Yuetchung 	# Etchu
1839 = "骏河" 	# Chunhaw 	# Suruga
1843 = "上野" 	# Seungyeh 	# Kozuke
1847 = "后志" 	# Hauji 	# Shiribeshi
1852 = "十胜" 	# Sapsing 	# Tokachi
4131 = "陆奥" 	# Luk-o 	# Mutsu
4180 = "日向" 	# Yat-heung 	# Hyuga
4181 = "肥后" 	# Feihau 	# Higo
4182 = "肥前" 	# Feichin 	# Hizen
4183 = "石见" 	# Sekgin 	# Iwami
4184 = "备前" 	# Beychin 	# Bizen
4185 = "丹后" 	# Danhau 	# Tango
4186 = "伊予" 	# Yiyu 	# Iyo
4187 = "纪伊" 	# Gei-yi 	# Kii
4188 = "信浓" 	# Shunnung 	# Shinano
4189 = "相模" 	# Seungmo 	# Sagami
4190 = "下总" 	# Hajung 	# Shimousa
4191 = "下野" 	# Hayeh 	# Shimotsuke
4192 = "羽后" 	# Yuhau 	# Ugo
4193 = "渡岛" 	# Do-do 	# Oshima
4359 = "伊势" 	# Yisai 	# Ise
4360 = "三河" 	# Samhaw 	# Mikawa
#Others
385 = "天方" 	# Tinfong 	# Mecca
534 = "古里" 	# Gulei 	# Malabar
558 = "华氏城" 	# Wasising 	# Patna
596 = "满剌加" 	# Moonlakga 	# Malacca
598 = "彭亨" 	# Panghang 	# Pahang
1203 = "麻林地" 	# Malamday 	# Malindi
1205 = "木骨都束" 	# Mukkwatdochuk 	# Mogadishu
2095 = "婆罗痆斯" 	# Bawlawnaysi 	# Varanasi
