101 = "杰诺瓦" 	# Cenova
1766 = "科索沃" 	# Kosova
1773 = "巴里巴德拉" 	# Ballibadra
1827 = "新帕扎尔" 	# Yeni Pazar
1828 = "特拉维克" 	# Travik
1831 = "特雷比涅" 	# Trebine
1849 = "哈马" 	# Hama
1853 = "凯斯里耶" 	# Kesriye
1856 = "阿布哈兹" 	# Abhazya
1864 = "科潘" 	# Kopan
1953 = "德布勒森" 	# Debrecin
1954 = "别乞克雷克" 	# Beçkerek
2196 = "彻尔德尔" 	# Çildir
2202 = "卡拉巴赫" 	# Karabagh
2204 = "卡尔斯" 	# Kars
2296 = "比加" 	# Biga
2297 = "萨鲁汗" 	# Saruhan
2298 = "泰凯" 	# Teke
2299 = "博卢" 	# Bolu
2300 = "波佐克" 	# Bozok
2301 = "开塞利" 	# Kayseri
2302 = "伊切尔" 	# Içel
2303 = "马拉蒂亚" 	# Malatya
2304 = "贾尼克" 	# Canik
2305 = "埃尔津詹" 	# Erzincan
2313 = "安塔基亚" 	# Antakya
2348 = "萨科兹" 	# Sakiz
2405 = "本德尔" 	# Bender
2447 = "洪卡拉" 	# Hunkala
2750 = "菲利贝" 	# Filibe
2999 = "许尔米兹" 	# Hürmüz
3000 = "尼什" 	# Nish
3001 = "于斯屈普" 	# Üsküp
3003 = "埃格里博兹" 	# Egriboz
4125 = "埃格尔" 	# Eger
4126 = "塞盖丁" 	# Segedin
4173 = "西雷姆" 	# Sirem
4174 = "伊尔巴桑" 	# Ilbasan 	# Modern Turkish Name: Elbasan
4175 = "伊什科德拉" 	# Iskodra
4239 = "贝尔格莱德" 	# Belgrad
4779 = "盖利博卢" 	# Gelibolu
4780 = "奥赫里" 	# Ohri
