197 = "罗塞永" 	# Rosellón
855 = "马萨特兰" 	# Mazatlan
857 = "圣路易斯波托西" 	# San Luis Potosi
860 = "杜兰戈" 	# Durango
862 = "索诺拉" 	# Sonora
863 = "北帕索" 	# Paso del Norte
864 = "奇瓦瓦" 	# Chihuahua
865 = "下加利福尼亚" 	# Baja California
866 = "洛雷托" 	# Loreto
1101 = "阿塞特" 	# Aceite
2614 = "新莱昂" 	# Nuevo Leon
2616 = "库库尔佩" 	# Cucurpe
2618 = "圣巴巴拉" 	# Santa Barbara
2619 = "萨尔蒂约" 	# Saltillo
2620 = "恩塞纳达" 	# Ensenada
2623 = "韦塔莫" 	# Huetamo
2626 = "托卢卡" 	# Toluca
2628 = "特佩阿卡" 	# Tepeaca
2637 = "卡瓦约斯港" 	# Puerto Caballos
2640 = "特古西加尔巴" 	# Tegucigalpa
2644 = "普埃布拉" 	# Puebla
2647 = "韦拉克鲁斯" 	# Veracruz
2658 = "阿苏阿" 	# Azua
2659 = "普拉塔港" 	# Puerto Plata
2662 = "科马亚瓜" 	# Comayagua
2667 = "拉雷多" 	# Laredo
2668 = "里奥布拉沃" 	# Rio Bravo
#USA
868 = "洛杉矶" 	# Los Angeles
869 = "蒙特雷" 	# Monterrey
877 = "图森" 	# Tucson
880 = "圣菲" 	# Santa Fe
881 = "索科罗" 	# Socorro
883 = "圣安东尼奥" 	# San Antonio
884 = "拉巴亚" 	# La Bahia
885 = "埃斯塔卡多平原" 	# Llano Estacado
887 = "洛斯特哈斯" 	# Los Tejas
888 = "加尔维斯顿" 	# Galvezton
897 = "卡德龙" 	# Cadron
900 = "圣路易斯" 	# San Luis
902 = "密苏里" 	# Misuri
918 = "巴兰卡斯" 	# Barancas
926 = "玛亚卡" 	# Mayaca
927 = "圣奥古斯丁" 	# San Agustin
2021 = "圣弗朗西斯科" 	# San Francisco
2476 = "圣迭戈" 	# San Diego
2498 = "埃尔帕索" 	# El Paso
2499 = "里奥格兰德" 	# Rio Grande
2514 = "新马德里" 	# Nuevo Madrid
2516 = "洛斯阿达埃斯" 	# Los Adaes
2529 = "洛斯诺加莱斯" 	# Los Nogales
2536 = "特赫斯塔" 	# Tegesta
2542 = "圣埃伦娜" 	# Santa Elena
2665 = "洛斯艾斯" 	# Los Ais
2666 = "圣萨巴" 	# San Saba
4351 = "内格罗斯" 	# Negros
# Caribbean
487 = "圣地亚哥" 	# Santiago
491 = "库拉萨奥" 	# Curasao
481 = "拉贝尔穆达" 	# La Bermuda
1881 = "圣马丁" 	# San Martín
494 = "圣豪尔赫" 	# San Jorge
495 = "圣玛丽亚安提瓜" 	# St María Antigua
496 = "瓜达卢佩" 	# Guadalupe
498 = "马尔蒂尼卡" 	# Martinica
499 = "圣卢西亚" 	# San Luzia
500 = "圣比森特" 	# San Vicente
501 = "巴尔巴多" 	# Barbado
2473 = "苏萨" 	# Susa
1306 = "圣多美" 	# Santo Tomé
1103 = "圣阿波罗尼亚" 	# Santa Apolonia
1986 = "新喀里多尼亚" 	# Nueva Caledonia
1994 = "圣弗朗西斯科" 	# San Francisco 	# seriously
1997 = "中太平洋岛" 	# Isla de Pacífico Central
1988 = "复活节岛" 	# Isla de Pascua
1098 = "圣埃伦娜岛" 	# Isla Santa Elena
2002 = "加拉帕戈斯群岛" 	# Islas Galápagos
1987 = "社会群岛" 	# Islas de la Sociedad
1725 = "土阿莫土群岛" 	# Archipiélago Tuamotu
1238 = "所罗门群岛" 	# Islas Salomón
1991 = "吉尔伯特群岛" 	# Islas Gilbert
1993 = "洛斯平塔多斯" 	# Los Pintados
1096 = "佛得角" 	# Cabo Verde
2025 = "圣佩德罗岛" 	# Isla San Pedro
1095 = "马尔维纳斯群岛" 	# Islas Malvinas
4720 = "希内布拉" 	# Ginebra
1177 = {
  "卡沃" 	# Cabo
  "卡沃城" 	# Ciudad del Cabo
}
