5 = "韦姆兰" 	# Wermland
1991 = "吉尔伯特群岛" 	# Gilbertinseln
1993 = "马绍尔群岛" 	# Marshallinseln
1096 = "佛得角" 	# Kap Verde
2025 = "南乔治亚" 	# Südgeorgien
1095 = "福克兰群岛" 	# Falklandinseln
782 = "火地岛" 	# Feuerland
367 = "亚速尔" 	# Azoren
1995 = "密克罗尼西亚" 	# Mikronesien
295 = "莫斯科" 	# Moskau
4236 = "特伦钦" 	# Trentschin
4721 = "弗赖堡" 	# Freiburg
4720 = "根夫" 	# Genf
4128 = "国王领地" 	# Königsboden
4240 = "魏森堡" 	# Weißenburg
4523 = "伊诺弗罗茨兹劳" 	# Inowrazlaw
4524 = "多布林" 	# Dobrin
4526 = "格内森" 	# Gnesen
4527 = "凯尔采" 	# Kielce
4528 = "库亚维恩" 	# Kujawien
4533 = "维伦" 	# Welun
4541 = "德罗霍比奇" 	# Drohobytsch
4723 = "奥珀伦" 	# Oppeln
4724 = "帕尔杜比采" 	# Pardubitz
4725 = "诺伊豪斯" 	# Neuhaus
4726 = "奥斯特劳" 	# Ostrau
4756 = "贝洛瓦尔" 	# Bellowar
155 = "贝凯什" 	# Bekesch
4126 = "巴奇" 	# Batsch
4127 = "托伦堡" 	# Thorenburg
1318 = "齐普斯" 	# Zips
4125 = "索尔诺克" 	# Sollnock
4753 = "贾达拉" 	# Jadara
1954 = "多伦塔尔" 	# Torontal
4712 = "康斯坦茨" 	# Konstanz
4764 = "萨尔茨巴特" 	# Salzbad
