484 = "拉瓦纳" 	# La Havane
103 = "都灵" 	# Turin
104 = "米兰" 	# Milan
105 = "帕尔马" 	# Parme
106 = "摩德纳" 	# Modène
108 = "维罗纳" 	# Vérone
109 = "曼图亚" 	# Mantoue
111 = "弗留利" 	# Frioul
112 = "威尼斯" 	# Venise
113 = "费拉拉" 	# Ferrare
114 = "拉文纳" 	# Ravenne
115 = "比萨" 	# Pise
116 = "佛罗伦萨" 	# Florence
117 = "锡耶纳" 	# Sienne
118 = "罗马" 	# Rome
119 = "安科纳" 	# Ancône
120 = "阿布鲁佐" 	# Abruzzes
121 = "纳普勒" 	# Naples
122 = "萨隆" 	# Salente
123 = "卡拉布里亚" 	# Calabre
124 = "墨西拿" 	# Messine
125 = "巴勒莫" 	# Palerme
130 = "伊斯特拉" 	# Istrie
205 = "萨瓦" 	# Savoie
1247 = "科西嘉" 	# Corse
1774 = "特雷维兹" 	# Trévise
1862 = "克雷莫纳" 	# Crémone
1875 = "库内奥" 	# Coni
1934 = "卢卡尼亚" 	# Lucanie
2976 = "佩鲁贾" 	# Pérouse
2978 = "诺瓦拉" 	# Novare
2980 = "吕克" 	# Lucques
2981 = "蒙费拉托" 	# Montferrat
2984 = "库森斯" 	# Cosence
2985 = "卡皮丹内" 	# Capitanate
2986 = "卡古利" 	# Caglier
2992 = "阿尔宾高" 	# Albengue
4727 = "萨鲁" 	# Saluces
4728 = "巴维" 	# Pavie
4729 = "巴图" 	# Padoue
4730 = "博洛尼亚" 	# Bologne
4731 = "斯波勒" 	# Spolète
4732 = "泰哈辛" 	# Terracine
4736 = "德雷班" 	# Drépane
4738 = "的里雅斯特" 	# Trieste
4739 = "贝勒加" 	# Bergame
4740 = "库姆" 	# Côme
197 = "鲁西永" 	# Roussillon
206 = "拉科鲁涅" 	# La Corogne
207 = "阿斯图里亚斯" 	# Asturies
208 = "莱翁" 	# León
211 = "比利尼" 	# Pyrénées
212 = "赫罗纳" 	# Gironne
213 = "巴尔塞洛讷" 	# Barcelone
214 = "阿拉贡" 	# Aragon
215 = "卡斯蒂耶" 	# Castille
216 = "萨拉曼卡" 	# Salamanque
219 = "托莱德" 	# Tolède
220 = "瓦朗斯" 	# Valence
221 = "穆尔西亚" 	# Murcie
222 = "阿尔梅里" 	# Almérie
223 = "格拉纳达" 	# Grenade
224 = "塞维叶" 	# Séville
225 = "科尔多瓦" 	# Cordoue
226 = "直布罗陀" 	# Gibraltar
333 = "巴利阿尔" 	# Baléares
366 = "加纳利" 	# Canaries
1745 = "坎塔布里亚" 	# Cantabrie
1747 = "卡塞尔" 	# Cacéres
1748 = "哈恩" 	# Jaén
1749 = "加迪斯" 	# Cadix
1750 = "阿利坎特" 	# Alicante
227 = "里斯本" 	# Lisbonne
232 = "布拉干萨" 	# Bragance
367 = "亚速尔" 	# Açores
368 = "马代尔" 	# Madère
1096 = "佛得角" 	# Cap-Vert
126 = "马耳他" 	# Malte
41 = "东普鲁士" 	# Prusse orientale
42 = "瓦尔米亚" 	# Varmie
43 = "但泽" 	# Dantzig
44 = "汉堡" 	# Hambourg
50 = "勃兰登堡" 	# Brandebourg
52 = "马格德堡" 	# Magdebourg
53 = "吕讷堡" 	# Lunebourg
55 = "奥尔登堡" 	# Oldenbourg
57 = "不伦瑞克" 	# Brunswick
59 = "维滕贝格" 	# Wittemberg
61 = "德累斯德" 	# Dresde
62 = "莱比锡" 	# Leipsic
65 = "慕尼黑" 	# Munich
67 = "纽伦堡" 	# Nuremberg
69 = "康斯坦茨" 	# Constance
70 = "斯图加德" 	# Stougard
72 = "布莱斯高" 	# Brisgau
74 = "巴登" 	# Bade
75 = {
  "斯特拉斯堡" 	# Strasbourg
  "斯特拉斯堡" 	# Strasbourg
}
76 = "萨尔茨堡" 	# Salzbourg
78 = "美因茨" 	# Mayence
79 = "维尔茨堡" 	# Wurtzbourg
80 = "特莱弗" 	# Trèves
81 = "黑森" 	# Hesse
82 = "威斯特伐利亚" 	# Westphalie
85 = "科隆" 	# Cologne
86 = "明斯特" 	# Munster
95 = "布雷达" 	# Bréda
96 = "泽兰" 	# Zélande
97 = "荷兰" 	# Hollande
99 = "盖尔德勒" 	# Gueldre
100 = "弗里兹" 	# Frise
110 = "特伦汀" 	# Trentin
132 = "施蒂利亚" 	# Styrie
134 = "维也纳" 	# Vienne
165 = "伯尔尼" 	# Berne
166 = "森林州" 	# Waldstätten
181 = "雷特尔" 	# Rethélois
189 = "洛林" 	# Lorraine
266 = "布拉格" 	# Prague
1742 = "林堡" 	# Limbourg
1743 = "康布雷" 	# Cambrésis
1744 = "安维尔" 	# Anvers
1757 = "上普法尔茨" 	# Haut-Palatinat
1758 = "汉诺威" 	# Hannovre
1760 = "科布朗斯" 	# Coblence
1761 = "巴列丁奈" 	# Palatinat
1763 = "下卢萨斯" 	# Basse-Lusace
1769 = "戈里斯" 	# Gorice
1841 = "玛丽安堡" 	# Marienbourg
1865 = "冈城" 	# Gand
1868 = "奥格斯堡" 	# Augsbourg
1873 = "格里松" 	# Grisons
1874 = "布雷姆" 	# Brême
1869 = "苏黎世" 	# Zurich
1870 = "圣加尔" 	# Saint-Gall
1876 = "法兰克福" 	# Francfort
1878 = "埃克斯拉沙佩勒" 	# Aix-la-Chapelle
1931 = "东弗里兹" 	# Frise orientale
2753 = "纳博讷" 	# Narbonnais
2957 = "雷提斯堡" 	# Ratisbonne
2967 = "叶格拉" 	# Egra
3003 = "内格罗蓬特" 	# Negroponte
4708 = "弗里赞格" 	# Frisingue
4710 = "布里冈斯" 	# Brigance
4765 = {
  "米卢斯" 	# Mulhouse
  "米卢斯" 	# Mulhouse
}
4767 = "德蓬" 	# Deux-Ponts
4768 = "瑞列" 	# Juliers
4769 = "里尔" 	# Lille
4770 = "布瓦勒迪克" 	# Bois-le-Duc
128 = "下卡林西亚" 	# Basse-Carinthie
129 = "卡尔尼奥拉" 	# Carniole
137 = "拉古萨" 	# Raguse
146 = "雅典" 	# Athènes
147 = "色萨利" 	# Thessalie
148 = "塞萨洛尼基" 	# Thessalonique
149 = "阿德里安堡" 	# Adrianople
151 = "君士坦丁堡" 	# Constantinople
163 = "克里特" 	# Crète
318 = "士麦拿" 	# Smyrne
1773 = "亚该亚" 	# Achaïe
1831 = "艾泽哥维耶" 	# Herzégovine
2746 = "维丁" 	# Vidine
2750 = "腓力波利斯" 	# Philippopolis
3001 = "斯科皮" 	# Scopie
4174 = "都拉斯" 	# Duras
4701 = "科汉斯" 	# Corinthe
4702 = "塞雷" 	# Serrès
4752 = "阜姆" 	# Fiume
4759 = "上科汉斯" 	# Haute-Carinthie
4779 = "加里波利" 	# Gallipoli
1986 = "新喀里多尼亚" 	# Nouvelle-Calédonie
1102 = "法兰西岛" 	# Île de France
1997 = "中太平洋岛" 	# Île du Mi-pacifique
1988 = "复活节岛" 	# Île de Pâques
1098 = "圣埃莱娜" 	# Sainte-Hélène
2002 = "加拉帕戈斯群岛" 	# Îles Galápagos
1987 = "社会群岛" 	# Îles de la Société
1725 = "土阿莫土群岛" 	# Îles Tuamotu
1238 = "所罗门群岛" 	# Îles Salomon
1991 = "吉尔伯特群岛" 	# Îles Gilbert
1993 = "马绍尔群岛" 	# Îles Marshall
1096 = "佛得角" 	# Kap Verde
2025 = "南乔治亚" 	# Géorgie du Sud
1095 = "马尔维讷群岛" 	# Îles Malouines
782 = "火地岛" 	# Terre de Feu
367 = "亚速尔" 	# Açores
1995 = "密克罗内西" 	# Micronésie
73 = "因河河谷" 	# Val d'Inn
4758 = "埃奇山谷" 	# Val d'Etsch
4720 = "日内瓦" 	# Genève
4721 = "弗赖堡" 	# Fribourg
