#Anglia
233 = "康努比亚" 	# Cornubia
4734 = "阿贝尔利农" 	# Abellinum
4736 = "德雷帕农" 	# Drepanum
4737 = "阿格里根同" 	# Agrigentum
4738 = "忒耳革斯忒" 	# Tergeste
4739 = "贝耳戈蒙" 	# Bergomum
4740 = "科蒙" 	# Comum
#Illyria/Balcania
131 = "扎格剌比亚" 	# Zagrabia
136 = "斯帕拉同" 	# Spalatum
137 = "拉古西翁" 	# Ragusium
138 = "狄奥克勒亚" 	# Dioclea
139 = "扎克卢米亚" 	# Zachlumia
142 = "科耳库剌" 	# Corcyra
146 = "雅典" 	# Athenae
147 = "帖撒利亚" 	# Thessalia
149 = "哈德良波利斯" 	# Adrianopolis
150 = "尼科波利斯" 	# Nicopolis
151 = "君士坦丁波利斯" 	# Constantinopolis
152 = "瓦剌斯狄农" 	# Varasdinum
159 = "杜罗斯托戎" 	# Durostorum
163 = "克里特" 	# Creta
164 = "纳克索斯" 	# Naxos
1764 = "部耳顾斯" 	# Burgus
1765 = "塞耳狄卡" 	# Serdica
1766 = {
  "达耳达尼亚" 	# Dardania
  "乌尔庇亚那" 	# Ulpiana
}
1767 = "斯克拉沃尼亚" 	# Sclavonia
1773 = "亚该亚" 	# Achaia
1827 = "拉斯基亚" 	# Rascia
1828 = "下帕耳忒斯" 	# Partes Inferiores
1853 = "卡斯托里亚" 	# Castoria
2746 = "玻诺尼亚" 	# Bononia
2750 = "腓力波利斯" 	# Philippopolis
3000 = "奈苏斯" 	# Naissus
3001 = "斯科庇亚" 	# Scopia
3002 = "维索卡" 	# Visoka
4701 = "科林图斯" 	# Corinthus
4702 = "西耳剌" 	# Sirra
4703 = "威勒部斯杜斯" 	# Velebusdus
4704 = "忒耳诺朋" 	# Ternobum
4705 = "库穆齐纳" 	# Koumoutzina
4752 = "佛卢门" 	# Flumen
4753 = "雅得耳" 	# Iader
4754 = "阿斯克鲁维翁" 	# Ascruvium
4755 = "德里努斯" 	# Drinus
4756 = "贝洛瓦里翁" 	# Bellovarium
4779 = "卡利波利斯" 	# Callipolis
4750 = "克罗阿戎" 	# Croarum
4175 = "利苏斯" 	# Lissus
4174 = "都拉齐翁" 	# Dyrrachium
143 = "奥洛那" 	# Aulona
4780 = "吕克尼杜斯" 	# Lychnidus
#Asia Minor
316 = "特罗阿斯" 	# Troas
317 = "密西亚" 	# Mysia
318 = "士麦那" 	# Smyrna
319 = "米拉萨" 	# Mylasa
320 = "罗得岛" 	# Rhodus
322 = "科堤埃翁" 	# Cotyaeum
323 = "伊科尼翁" 	# Iconium
324 = "吕卡俄尼亚" 	# Lycaonia
325 = "帕夫拉戈尼亚" 	# Paphlagonia
326 = "加拉提亚" 	# Galatia
327 = "奇里乞亚" 	# Cilicia
328 = "锡诺佩" 	# Sinope
329 = "塞巴斯忒亚" 	# Sebastea
330 = "特拉佩祖斯" 	# Trapezus
332 = "革耳曼尼基亚" 	# Germanicia
377 = "贝罗埃亚" 	# Beroea
418 = "阿弥达" 	# Amida
1846 = "阿马塞亚" 	# Amasea
1848 = "卡里亚" 	# Caria
2296 = "阿彼杜斯" 	# Abydus
2297 = "吕底亚" 	# Lydia
2298 = "阿塔勒亚" 	# Attalea
2299 = "比提尼亚" 	# Bithynia
2300 = "卡帕多基亚" 	# Cappadocia
2301 = "凯撒里亚" 	# Caesarea
2302 = "潘费利亚" 	# Pamphylia
2303 = "墨利忒涅" 	# Melitene
2304 = "卡尔狄亚" 	# Chaldia
2305 = "阿喀利塞涅" 	# Acilisene
2306 = "塔饶尼提斯" 	# Taraunitis
2307 = "阿耳西萨" 	# Arsissa
#Mashriq
378 = "黎巴嫩的特里波利斯" 	# Tripolis Libanitis 	# Or just Libanus (Lebanon)
379 = "耶罗索利马" 	# Hierosolyma
380 = "以土买" 	# Idumea
381 = "珀赖亚" 	# Peraea
405 = "帕尔密剌" 	# Palmyra
406 = "杜拉欧罗普斯" 	# Dura Europus
407 = "卡利尼孔" 	# Callinicum
410 = "巴格达同" 	# Bagdatum
412 = "苏西亚那" 	# Susiana
1849 = "厄庇法尼亚" 	# Epiphania
1854 = "佛拉维亚-涅亚波利斯" 	# Flavia Neapolis
2309 = "辛加剌" 	# Singara
2310 = "塔格里同" 	# Tagritum
2314 = "基耳刻西翁" 	# Circesium
#Aegyptus
356 = "贝雷尼刻" 	# Berenice
357 = "达尼斯" 	# Darnis
359 = "阿耳西诺厄" 	# Arsinoë
360 = "马克西米安波利斯" 	# Maximianopolis
361 = "开鲁斯" 	# Cairus
363 = "塔米阿提斯" 	# Tamiathis
1231 = "叙厄涅" 	# Syene
2315 = "苏厄西亚" 	# Suesia
2317 = "安提诺波利斯" 	# Antinopolis
2319 = "吕科波利斯" 	# Lycopolis
2320 = "波耳菲里忒斯山" 	# Mons Porphirites
2321 = "勒乌科斯利门" 	# Leucos Limen
2325 = "帕赖托尼翁" 	# Paraetonium
2326 = "大佩特拉斯" 	# Petras Maior
#Africa
334 = "廷吉斯" 	# Tingis
335 = "鲁萨狄耳" 	# Rusadir
336 = "波马里亚" 	# Pomaria
338 = "阿尔及利亚" 	# Algeria
339 = "萨尔代" 	# Saldae
340 = "基耳塔" 	# Cirta
341 = "图涅斯" 	# Tunes
342 = "拉巴同" 	# Rabatum
343 = "斐扎" 	# Fezza
351 = "威斯刻剌" 	# Vescera
352 = "卡普萨" 	# Capsa
353 = "塔卡佩" 	# Tacape
354 = "特里波利斯" 	# Tripolis
355 = "叙耳提斯" 	# Syrtis
1751 = "塞普塔" 	# Septa
1882 = "希波雷吉乌斯" 	# Hippo Regius
2450 = "居达姆斯" 	# Cydamus
2451 = "图巴克提斯" 	# Thubactis
2453 = "泰奈" 	# Thaenae
2454 = "西卡威涅里亚" 	# Sicca Veneria
2455 = "希波-迪亚耳律图斯" 	# Hippo Diarrhytus
2459 = "墨狄亚" 	# Media
2461 = "穆鲁斯塔加" 	# Murustaga
2473 = "哈德鲁墨同" 	# Hadrumetum
2954 = "墨宁克斯" 	# Meninx
#Belgica
87 = "加莱西翁" 	# Calesium
90 = "佛兰德里亚" 	# Flandria
91 = "汉诺尼亚" 	# Hannonia
92 = "布拉班提亚" 	# Brabantia
93 = "勒俄狄翁" 	# Leodium
94 = "卢森堡" 	# Luxemburgum
95 = "布雷达那" 	# Bredana
96 = "泽兰狄亚" 	# Zelandia
1742 = "林堡" 	# Limburgum
1744 = "安特威耳庇亚" 	# Antverpia
1865 = "甘达翁" 	# Gandavum
1866 = "那穆耳孔" 	# Namurcum
1878 = "阿奎斯格剌农" 	# Aquisgranum
2974 = "玻耳克洛尼翁" 	# Borchlonium
#Germania Inferior
80 = "特雷维里的奥古斯塔" 	# Augusta Treveronum
81 = "哈西亚" 	# Hassia
82 = "威斯特法利亚" 	# Vestphalia
83 = "纳索维亚" 	# Nassovia
84 = "杜塞尔多耳庇翁" 	# Dusseldorpium
85 = "科洛尼亚-阿格里皮娜" 	# Colonia Agrippina
86 = "摩那斯忒里翁" 	# Monasterium
1760 = "孔佛卢恩忒斯" 	# Confluentes
2973 = "阿弥西亚" 	# Amisia 	# For the Ems river
2975 = "克利维亚" 	# Clivia
#Germania Superior
64 = "兰狄斯胡塔" 	# Landishuta
65 = "摩那孔" 	# Monacum
68 = "卡西利亚孔" 	# Cassiliacum
69 = "苏维汇" 	# Suebia 	# Technically Swabia, not Upper Swabia
70 = "维耳屯贝耳吉亚" 	# Virtembergia
71 = "俄诺尔冬" 	# Onoldum
72 = "布里斯戈维亚" 	# Brisgoviae
74 = "巴登尼亚" 	# Badenia
75 = "阿耳根托剌同" 	# Argentoratum
76 = "萨利斯堡" 	# Salisburgum
77 = "海得尔贝耳加" 	# Heidelberga
78 = "摩贡提亚孔" 	# Moguntiacum
79 = "赫耳比波利斯" 	# Herbipolis
110 = "特里登同" 	# Tridentum
128 = "卡林提亚" 	# Carinthia
129 = "卡耳尼奥拉" 	# Carniola
130 = "希斯特里亚" 	# Histria
132 = "施蒂里亚" 	# Styria
133 = "楞提亚" 	# Lentia
134 = "文多波纳" 	# Vindobona
165 = "贝耳那" 	# Berna
166 = "苏伊提乌斯" 	# Suitius
1761 = "帕拉提那图斯" 	# Palatinatus
1768 = "卢恩齐那" 	# Luenzina
1769 = "戈里提亚" 	# Goritia
1863 = "格赖基亚" 	# Graecia
1867 = "劳索尼翁" 	# Lausonium
1868 = "温得利基的奥古斯塔" 	# Augusta Vindelicorum
1869 = "图里孔" 	# Turicum
1870 = "圣加隆" 	# Sanctogallum
1871 = "瓦莱西亚" 	# Valesia
1872 = "乌尔马" 	# Ulma
1873 = "格里索尼亚" 	# Grisonia
2955 = "英戈尔斯塔狄翁" 	# Ingolstadium
#Pannonia, Dacia
135 = "斯卡耳班提亚" 	# Scarbantia
153 = "佩斯提农" 	# Pestinum
160 = "马尔瓦达契亚" 	# Dacia Malvensis
161 = "塔耳戈维斯忒" 	# Targoviste
1756 = "默西亚" 	# Moesia
