85 = "Cwlen"						#Köln					|21.07.18 Cwrwi	Added			
249	= "Allt Clud"					#Ayrshire				|21.07.18 Cwrwi	Changed from Alclud (Dumbarton in Old Welsh) to Allt Clud (old Welsh name of Kingdom in area). Alternative "Ystrad Clud" (Strathclyde, modern), "Aeron" (Ayr) or "Swydd Aeron" (Ayrshire)												
250	= "Ystrad Gweryd"				#Fife					|21.07.18 Cwrwi	Changed from "Fib" (Pictish approximation), who have their own culture, to "Ystrad Gweryd" (from Gweryd, middle Welsh for Forth, and Ystrad, meaning Strath, in pattern of Ystrad Clud), alternative is "Ffaeth" (Cambrification as no Welsh version extant).												
251	= "Aberdeen"					#Aberdeen				|21.07.18 Cwrwi	Aberdeen is a Welsh name. Reverted from Aberdon												
252	= "Aberness"					#Inverness				|21.07.18 Cwrwi	Aber (estuary) + Ness (name of river). Changed from Cait, Pictish version of Caithness, which is not in this province any more												
253	= "Ynysoedd Heledd"				#Outer Hebrides			|21.07.18 Cwrwi	Added												
295	= "Moscfa"						#Moskva					|21.07.18 Cwrwi	Added												
366	= "Ynysoedd Dedwydd"			#Canary Islands			|21.07.18 Cwrwi	Added												
369	= "Erch"						#Orkney					|21.07.18 Cwrwi	Checked												
370	= "Gorllewin Gwlad yr Iâ"		#Reykjavik				|21.07.18 Cwrwi	Added												
371	= "Dwyrain Gwlad yr Iâ"			#Akuyeri				|21.07.18 Cwrwi	Added												
373	= "Dylin"						#Pale					|21.07.18 Cwrwi	Added												
											
379	= "Caersalem"					#Al-Quds				|21.07.18 Cwrwi	Added												
1769 = "Gorllewin Slofenia"			#Goerz					|21.07.18 Cwrwi	Added												
1816 = "Pecin"						#Beijing				|21.07.18 Cwrwi	Checked												
1860 = "Ecen"						#Norfolk				|21.07.18 Cwrwi	Checked												
1861 = "Derwent"					#Derby					|21.07.18 Cwrwi	Checked												
1978 = "Ynysoedd Shetland"			#Shetland				|21.07.18 Cwrwi	Added												
1979 = "Ynysoedd Ffaröe"			#Faeroes				|21.07.18 Cwrwi	Added												
3070 = "Libanus"					#Antioch				|21.07.18 Cwrwi	Added		
4118 = "Corc"						#Cork					|21.07.18 Cwrwi	Added											
4119 = "Rhoscwmyn"					#Midlands				|21.07.18 Cwrwi	Added. Cambrification- no source												
375 = "Limwric"					#Tuadhmhumhaim			|21.07.18 Cwrwi	Added. Cambrification- no source												
4121 = "Wlster"						#Ulaidh					|21.07.18 Cwrwi	Added												
4130 = "Gwlad-yr-Haf"				#Somerset				|21.07.18 Cwrwi	Capitalised 'H'												
4486= "Gododdin"					#East March				|21.07.18 Cwrwi	Added												
4362 = "Caerferes"					#Dumfries				|21.07.18 Cwrwi	Changed from Din Prys												
4363 = "Argeill"					#Argyll					|21.07.18 Cwrwi	Added. Cambrification- no source												
4364 = "Ynys Hir"					#Inner Hebrides			|21.07.18 Cwrwi	Added												
4365 = "Manaw"						#Mann					|21.07.18 Cwrwi	Added												
4366 = "Powys"						#Montgommery			|21.07.18 Cwrwi	Added												
4367 = "Aberhwmbr"					#Hull					|21.07.18 Cwrwi	Added. Cambrification- no source												
4368 = "Deifr"						#Scarborough			|21.07.18 Cwrwi	Added												
4369 = "Caerfyrddin"				#Carmarthen				|21.07.18 Cwrwi	Checked			
4370 = "Caergrawnt"					#Cambridge				|21.07.18 Cwrwi	Added																				
4371 = "Caerfuddai"					#Sussex					|21.07.18 Cwrwi	Added												
4372 = "Cofentri"					#Coventry				|21.07.18 Cwrwi	Added. Cambrification- no source													
233 = "Cernyw"						#Cornwall				|		16.11.20											
4374 = "Dorset"						#Dorset					|21.07.18 Cwrwi	Added- same as English												
4375 = "Caer"						#Chester				|21.07.18 Cwrwi	Changed from Caerllion Fawr												
4376 = "Caerlyr"					#Leicester				|incomplete												
4384 = "Arfor"						#Armour					|21.07.18 Cwrwi	Added												
4385 = "Cotentyn"					#Cotentin				|21.07.18 Cwrwi	Added. Cambrification- no source												
