1 = "O Pho Lan"
1 = "Toc Hàm"								#Stockholm				|			12.05.19
686 = "An Khánh"							#Anqing					|			16.05.20
687 = "Nam Duong"							#Nanyang				|			12.05.20
688 = "Khai Phong"							#Kaifeng				|			01.06.20
689 = "Hán Trung"							#Hanzhong				|			03.06.20
691 = "Te Nam"								#Jinan					|incomplete	02.06.20
690 = "Thanh Châu"							#Qingzhou				|			01.06.20
693 = "Thái Nguyên"							#Taiyuan				|			03.06.20
694 = "Bình Duong"							#Pingyang				|			03.06.20
695 = "Hà Gian"								#Hejian					|			03.06.20
696 = "Bao Ðinh"							#Baoding				|			03.06.20
697 = "Ðai Ðong"							#Datong					|incomplete	03.06.20
698 = "Ninh Ha"								#Ningxia				|			04.06.20
699 = "Lan Châu"							#Lanzhou				|			04.06.20
700 = "Truong An"							#Xi'an					|			03.06.20
703 = "Thùa Ðuc"							#Chengde				|incomplete	04.06.20
704 = "Ninh Vien"							#Ningyuan				|			04.06.20
1016 = "Hà Tinh"							#Ha Tinh				|incomplete	17.05.19
1020 = "Kinh Dô"							#Kyoto					|			12.05.19
1022 = "Ðà Nang"							#Indrapura				|incomplete	17.05.19
1033 = "Kho Di Bac"							#North Sakhalin			|reconstructed/possible name/incomplete
1749 = "Ca Ðích"							#Cádiz					|			12.05.19
1750 = "A Ly Can"							#Alicante				|			12.05.19
1758 = "An Nô Vi"							#Hannover				|			12.05.19
1821 = "Nam Kinh"							#Nanjing				|			16.05.20
1822 = "Tô Châu"							#Suzhou					|			16.05.20
1824 = "Ôn Châu"							#Wenzhou				|			16.05.20
1829 = "Ha Môn"								#Xiamen					|			16.05.20
1833 = "Cát An"								#Ji'an					|			16.05.20
1836 = "Lac Duong"							#Luoyang				|incomplete	01.06.20
1838 = "Hop Phì"							#Hefei					|incomplete	16.05.20
1840 = "Que Lâm"							#Guilin					|incomplete	16.05.20
1844 = "Tran Ninh"							#Xiankhouang			|incomplete	12.05.19
1845 = "Bình Nhuong"						#Pyongan				|incomplete	12.05.19
2030 = "Cô Á"								#Goa					|			12.05.19
2106 = "Hai Sâm Uy"							#Furdan					|			12.05.19
2136 = "Tuyên Hóa"							#Xuanhua				|			04.06.20
2137 = "Ðai Danh"							#Daming					|			03.06.20
2138 = "Vô Ðinh"							#Wuding					|			02.06.20
2139 = "Lai Châu"							#Laizhou				|			09.02.19
2140 = "Duyen Châu"							#Yanzhou				|			02.06.20
2141 = "Tu Châu"							#Xuzhou					|			16.05.20
2142 = "Hoài Âm"							#Huai'an				|			16.05.20
2144 = "Phu Duong"							#Fuyang					|			16.05.20
2145 = "Tran Giang"							#Zhenjiang				|incomplete	16.05.20
2146 = "Ninh Quoc"							#Ningguo				|			16.05.20
2147 = "Hoàng Son"							#Huangshan				|			16.05.20
2149 = "Ninh Ba"							#Ningbo					|			16.05.20
2150 = "Kim Hoa"							#Jinhua					|			16.05.20
2151 = "Bà Duong"							#Poyang					|incomplete	16.05.20
2152 = "Kien Ninh"							#Jianning				|incomplete	16.05.20
2154 = "Ðài Bac"							#Kelam					|incomplete	12.05.19
2156 = "Trieu Châu"							#Chaozhou				|incomplete	15.05.20
2157 = "Hue Châu"							#Huizhou				|incomplete	15.05.20
2158 = "Thieu Quan"							#Shaoguan				|incomplete	15.05.20
2159 = "Lôi Châu"							#Leizhou				|			09.02.19
2160 = "Nhai Châu"							#Yazhou					|			09.02.19
2161 = "Liên Châu"							#Lianzhou				|			15.05.20
2162 = "Ngô Châu"							#Wuzhou					|			16.05.20
2163 = "Lieu Châu"							#Liuzhou				|incomplete	16.05.20
2164 = "Nam Ninh"							#Nanming				|			16.05.20
2165 = "Pho Nhi"							#Pu'er					|incomplete	26.03.22
2166 = "Ðuc Hoành"							#Dehong					|incomplete	26.03.22
2167 = "Le Giang"							#Lijiang				|incomplete	26.03.22
2168 = "Bac Châu" 							#Bozhou					|incomplete	14.05.20
2170 = "Tùng Châu"							#Songzhou				|			01.06.20
2171 = "Tuong Duong"						#Xiangyang				|			12.05.20
2172 = "Kinh Châu"							#Jingzhou				|			12.05.20
2173 = "Nguyên Lang"						#Yuanling				|incomplete	16.05.20
2174 = "Hành Duong"							#Hengyang				|			16.05.20
2176 = "Thuong Khâu"						#Shangqiu				|			12.05.20
2177 = "Ninh Vu"							#Ningwu					|			03.06.20
2179 = "Diên An"							#Yan'an					|			03.06.20
2180 = "Thiên Thuy"							#Tianshui				|			04.06.20
2181 = "Bình Luong"							#Pingliang				|			04.06.20
2323 = "Sa mac No Ti Á"						#Sahra an Nübyah		|incomplete	26.03.22
2371 = "Son La"								#Song La				|incomplete	27.04.21
2372 = "Hai Phòng"							#Hai Phong				|incomplete	12.02.19
2373 = "Hue"								#Hue					|incomplete	27.04.21
2374 = "Nha Trang"							#Kauthara				|			17.05.19
2375 = "Êdê"								#Rhade					|incomplete	08.04.23
2376 = "Can Tho"							#Prey Russey			|incomplete	27.04.21
2377 = "Cà Mau"								#Teuk Khmao				|			27.04.21
2378 = "Can Ché"							#Kratie					|incomplete	12.02.19
2379 = "Bát Tam Bôn"						#Battambang				|incomplete	12.05.19
2380 = "Nam Vang"							#Phnom Penh				|			12.05.19
2382 = "Sa Van"								#Savannakhet			|incomplete	27.04.21
2384 = "Muong Nông"							#Nong Khai				|incomplete	12.05.19
2741 = "Te Châu"							#Jeju					|incomplete	12.05.19
2748 = "Kien Xuong"							#Jianchang				|incomplete	14.05.20
3005 = "Huong Cang"							#Hongkong				|incomplete	12.05.19
3009 = "Thanh Ðao"							#Qingdao				|			09.02.19
4194 = "Vinh Bình"							#Yongping				|			04.06.20
4195 = "Chính Ðinh"							#Zhengding				|			03.06.20
4196 = "Hai Châu"							#Haizhou				|			16.05.20
4197 = "Hoàng Châu"							#Huangzhou				|			12.05.20
4198 = "Phuong Tuong"						#Fengxiang				|			03.06.20
4199 = "Dong Nhan"							#Tongren				|incomplete	16.05.20
4204 = "An Ðinh"							#Anding					|incomplete	10.02.19
4211 = "Ðat Châu"							#Dazhou					|			01.06.20
4212 = "Gia Châu"							#Jiazhou				|			12.05.20
4213 = "Lô Châu"							#Luzhou					|			12.05.20
4227 = "Ðai Khâu"							#Daegu					|incomplete	12.05.19
4229 = "Trung Châu"							#Chungju				|			12.05.19
4383 = "Hac Phu"							#Haag					|incomplete	12.05.19
4515 = "Cát long"							#Gyirong				|			04.10.19
4559 = "Mi Nô Ca"							#Minorca				|			12.05.19
4658 = "Kho Di Nam"							#South Sakhalin			|reconstructed/possible name/incomplete
4822 = "Quang Ngãi"							#Amaravati				|incomplete	26.03.22
4823 = "Gia Rai"							#Jiarai					|			27.04.21
4824 = "Co Ho"								#Koho					|incomplete	26.03.22
4840 = "Sê Kông"							#Xekong					|			27.04.21
