
#Americas
956  = "Nya Götheborg"		 #Lenape		
957  = "Fort Kristina"		 #Delaware 
962  = "Nya Elfsborg"		 #Unami

#Baltics	
37   = "Livland"		 #Livland
272  = "Vilna"			 #Lithuania/Vilna
273  = "Lettgallen"		 #Latgalia

#Germany
49   = "Nya märket"		 #Neumark
110  = "Sydtyrolen"		 #Trent/Sudtirol
1770 = "Östmark"		 #Ostmark

#Benelux
90   = "Flandern"		 #Vlaanderen
#Serbia
138  = "Montenegro"		 #Zeta


#Greece
4699 = "Aitolien"		#Aetolia

#List
10 = "Jämtland"							#Jamtland					|checked	02.09.18
895	= "Nya Helsingborg"	#NWCN
896	= "Kungälv"	#NWCN
897	= "Storfloden"	#NWCN
898	= "Lilla Stenen"	#NWCN
899	= "Varberg"	#NWCN
900	= "Sankt-Ludvig"	#NWCN
901	= "Nya Arboga"	#NWCN
902	= "Örnbyn"	#NWCN
903	= "Nya Viborg"	#NWCN
904	= "Nya Kalmar"	#NWCN
905	= "Nya Boxholm"	#NWCN
906	= "Nya Laholm"	#NWCN
907	= "Söderby"	#NWCN
908	= "Tjuvflod"	#NWCN
909	= "Kapell"	#NWCN
910	= "Åskavik"	#NWCN
911	= "Övre Halvön"	#NWCN
912	= "Klartvatten"	#NWCN
913	= "Prärien av Hundar"	#NWCN
914	= "Nya Marstrand"	#NWCN
915	= "Skaraborg"	#NWCN
916	= "Skänninge"	#NWCN
917	= "Östergötsfästning"	#NWCN
918	= "Dahlberg"	#NWCN
919	= "Sankt Olof"	#NWCN
920	= "Golawitz"	#NWCN
921	= "Roxendorff"	#NWCN
922	= "Charlottenborg"	#NWCN
923	= "Ellerntorp"	#NWCN
924	= "Thorsby"	#NWCN
925	= "Skanör"	#NWCN
926	= "Siöhielm"	#NWCN
927	= "Gyllenhjerta"	#NWCN
928	= "Falsterbo"	#NWCN
929	= "Björnklouhamn"	#NWCN
930	= "Lillienhielm"	#NWCN
931	= "Persikaträd"	#NWCN
932	= "Karlsfästning"	#NWCN
933	= "Katedralstaden"	#NWCN
934	= "Nyhus"	#NWCN
935	= "Karlsflod"	#NWCN
936	= "Överberget"	#NWCN
937	= "Gamlefortet"	#NWCN
938	= "Nyland"	#NWCN
939	= "Lundmark"	#NWCN
940	= "Trelleborg"	#NWCN
941	= "Saltöken"	#NWCN
942	= "Blåfontän"	#NWCN
943	= "Örnestedt"	#NWCN
944	= "Eldstierna"	#NWCN
945	= "Örneklou"	#NWCN
946	= "Svanenborg"	#NWCN
947	= "Klovland"	#NWCN
948	= "Rålamb"	#NWCN
949	= "Kudding"	#NWCN
950	= "Västervik"	#NWCN
951	= "Cronstierna"	#NWCN
952	= "Ystad"	#NWCN
953	= "Printzhof"	#NWCN
954	= "Bottnaryd"	#NWCN
955	= "Kalmar"	#NWCN
956	= "Nya Götheborg"	#NWCN
957	= "Fort Kristina"	#NWCN
958	= "Trefaldigheten"	#NWCN
959	= "Fågelgrip"	#NWCN
960	= "Nyckelsby"	#NWCN
961	= "Taberg"	#NWCN
962	= "Nya Elfsborg"	#NWCN
963	= "Blommaertstad"	#NWCN
964	= "Klingsflod"	#NWCN
965	= "Nya Stockholm"	#NWCN
966	= "Friherresberg"	#NWCN
967	= "Gustavia"	#NWCN
968	= "Flemingsborg"	#NWCN
969	= "Rajalinby"	#NWCN
2562	= "Nya Halmstad"	#NWCN
971	= "Nya Småland"	#NWCN
972	= "Oxenstierna"	#NWCN
973	= "Nya Västerås"	#NWCN
974	= "Ekofjärd"	#NWCN
975	= "Kungens Ö"	#NWCN
976	= "Kronprins Ö"	#NWCN
977	= "Liewenbjerg"	#NWCN
978	= "Ankare"	#NWCN
979	= "Aleuterna"	#NWCN
980	= "Vinland"	#NWCN
981	= "Leifsborg"	#NWCN
982	= "Nya Karlö"	#NWCN
983	= "Linköpingsö"	#NWCN
984	= "Salmis"	#NWCN
985	= "Södermöre"	#NWCN
986	= "Gaspéhalvön"	#NWCN
987	= "Niagara"	#NWCN
988	= "Stromberg"	#NWCN
989	= "Hammarsted"	#NWCN
990	= "Tre Floder"	#NWCN
991	= "Bålby"	#NWCN
992	= "Ascheberg"	#NWCN
993	= "Kungliga Berget"	#NWCN
994	= "Ericsberg"	#NWCN
995	= "Trosa"	#NWCN
996	= "Nordkusten"	#NWCN
997	= "Marklän"	#NWCN
3262	= "Nya Johannishus"	#NWCN
1000 = "Nya Helsingborg"	#NWCN
1001 = "Lindschöld"	#NWCN
1002 = "Handelspost"	#NWCN
1003 = "Björksund"	#NWCN
1004 = "Nya Bjarmaland"	#NWCN
1005 = "Fogelvik"	#NWCN
1006 = "Danskflod"	#NWCN
1007 = "Åskbukten"	#NWCN
1008 = "Rödafloden "	#NWCN
1009 = "Saltzaflod"	#NWCN
1010 = "Sankt Klemens"	#NWCN
1011 = "Friherrstad"	#NWCN
1089 = "Åminne"	#NWCN
1104 = "Eriksfjorden"	#NWCN
1105 = "Västrabygden"	#NWCN
2595 = "Klarsjö"	#NWCN
2002 = "Sköldpads Öarna"	#NWCN
815 = "Lagerväxter"	#NWCN
2811 = "Stenen"	#NWCN
2928 = "Nordenskjöld"	#NWCN
2889 = "Faxeby"	#NWCN
2910 = "Igelström"	#NWCN
2900 = "Sankt Phillipus"	#NWCN
2934 = "Hildiskogen"	#NWCN
2930 = "Fåhraeus?"	#NWCN
2025 = "Svea"	#NWCN
2019 = "Malung"	#NWCN
2020 = "Ormflod"	#NWCN
2506 = "Kungsbacka"	#NWCN
2005 = "Växjölän"	#NWCN
2601 = "Nedre Sjön"	#NWCN
2606 = "Svenskaborg"	#NWCN
2004 = "Kråknestdalen"	#NWCN
1813 = "Nya Trelleborg"	#NWCN
2018 = "Nötebom"	#NWCN
3057 = "Heimdall"	#NWCN
2003 = "Adolphia"	#NWCN
2007 = "Swedeholme"	#NWCN
2008 = "Ingeborg"	#NWCN
2009 = "Jönköpingsborg"	#NWCN
2010 = "Connecticutå"	#NWCN
2011 = "Säbyberg"	#NWCN
2012 = "Sankt Benedikt"	#NWCN
2565 = "Hästnäsby"	#NWCN
2014 = "Köpingsted"	#NWCN
2015 = "Bååtvik"	#NWCN
2016 = "Storgaffel"	#NWCN
2017 = "Sankta Anna"	#NWCN
2021 = "Nya Malmö"	#NWCN
2006 = "Hastferbro"	#NWCN
2022 = "Drottningöar"	#NWCN
2023 = "Ny Falsterbo"	#NWCN
2658 = "Stackelberg"	#NWCN
2659 = "Silfverstad"	#NWCN
2654 = "Honungsbukt"	#NWCN
2655 = "Östkyrka"	#NWCN
2656 = "Kungsträdgården"	#NWCN
2663 = "Utö hus"	#NWCN
2660 = "Stora Sundby"	#NWCN
2661 = "Strömsholm"	#NWCN
2640 = "Trige"	#NWCN
2662 = "Sturehov"	#NWCN
2637 = "Hästhamn"	#NWCN
2653 = "Rynsa"	#NWCN
2636 = "Fred Dal"	#NWCN
2634 = "Gyldenstolpe"	#NWCN
2652 = "Säfstaholm"	#NWCN
2633 = "Fågelsång"	#NWCN
2651 = "Salnecke"	#NWCN
2650 = "Carmelö"	#NWCN
2632 = "Lyckahamn"	#NWCN
2635 = "Kungstad"	#NWCN
2638 = "Apostelhamn"	#NWCN
2649 = "Rönneholm"	#NWCN
2631 = "Hjularöd"	#NWCN
2630 = "Barnstad"	#NWCN
2629 = "Herrevad"	#NWCN
2646 = "Heliga Birgitta"	#NWCN
2628 = "Ridderstad"	#NWCN
2647 = "Vägkorsning"	#NWCN
2644 = "Sankt Andreas"	#NWCN
2645 = "Hellinde"	#NWCN
2648 = "Stort Kors"	#NWCN
2627 = "Brundlund"	#NWCN
2623 = "Hetaländer"	#NWCN
851 = "Näsby"	#NWCN
2643 = "Kungarna"	#NWCN
2657 = "Stjärnaorp"	#NWCN
2621 = "Dagsnäs"	#NWCN
2622 = "Dalaborg"	#NWCN
2626 = "Buddenbrock"	#NWCN
2615 = "Mannarheim"	#NWCN
2642 = "Kulla Gunnarstorp"	#NWCN
2641 = "Grotthus"	#NWCN
2664 = "Ulriksdal"	#NWCN
2819 = "Alliansen"	#NWCN
2806 = "Tjöloholm"	#NWCN
2817 = "Högsta Kyrkan"	#NWCN
2818 = "Trolleholm"	#NWCN
2814 = "Mälsåker"	#NWCN
2815 = "Rödljung"	#NWCN
2816 = "Återvinning"	#NWCN
2820 = "Ny Götaland"	#NWCN
2821 = "Toppeladugård"	#NWCN
2822 = "Pyramiden"	#NWCN
2824 = "Tristad"	#NWCN
2943 = "Vittskövle"	#NWCN
2823 = "Åtta Dalar"	#NWCN
2825 = "Kronovallsby"	#NWCN
2827 = "Vitta Handen"	#NWCN
2826 = "Kristineberg"	#NWCN
2944 = "Oxenstiernaborg"	#NWCN
2830 = "Petersberg"	#NWCN
2829 = "Hovdalaborg"	#NWCN
2828 = "Vackstad"	#NWCN
2947 = "Källasborg"	#NWCN
2833 = "Melodi"	#NWCN
2832 = "Sankt Joachim"	#NWCN
2834 = "Hanaskog"	#NWCN
2882 = "Trollenäs"	#NWCN
2835 = "Ny Gråborg"	#NWCN
2838 = "Ekenäs"	#NWCN
795 = "Guldkullen"	#NWCN
2946 = "Vasaborg"	#NWCN
797 = "Bäckaskog"	#NWCN
2831 = "Häringensby"	#NWCN
793 = "Segern"	#NWCN
2840 = "Drottningsby"	#NWCN
2862 = "Fullerörsby"	#NWCN
2873 = "Leufsta"	#NWCN
2874 = "Flinthamn"	#NWCN
781 = "Önskehamn"	#NWCN
780 = "Snorrifästning"	#NWCN
2875 = "Smedstorp"	#NWCN
2871 = "Södlaren"	#NWCN
2868 = "Kvarnborg"	#NWCN
786 = "Svartälven"	#NWCN
2863 = "Finspång"	#NWCN
2867 = "Hastfersborg"	#NWCN
2872 = "Gyllebo"	#NWCN
2877 = "Stjärnby"	#NWCN
2847 = "Ludoviksby"	#NWCN
2866 = "Fontänarna"	#NWCN
2860 = "Almaborg"	#NWCN
2849 = "Bjärka"	#NWCN
2846 = "Klinckoström"	#NWCN
2844 = "Morgontimmarna"	#NWCN
2843 = "Birgittaslot"	#NWCN
2842 = "Borgeby"	#NWCN
2836 = "Granhammarsborg"	#NWCN
2837 = "Glimminge"	#NWCN
2878 = "Sundbyholm"	#NWCN
2854 = "Centralt-Sjakolanda"	#NWCN
777 = "Bjärsjölagårds "	#NWCN
2853 = "Strömmar"	#NWCN
2855 = "Missionärsby"	#NWCN
2851 = "Bergkvara"	#NWCN
2850 = "Säby"	#NWCN
2852 = "Uppströms"	#NWCN
2858 = "Eriksberg"	#NWCN
2859 = "Sassenskogen"	#NWCN
776 = "Avlelsen "	#NWCN
2883 = "Guds Mor"	#NWCN
2879 = "Heliga Thekla"	#NWCN
2887 = "Synnelsö"	#NWCN
2895 = "Erstavik"	#NWCN
2896 = "Nya Klockrike"	#NWCN
2897 = "Mykland"	#NWCN
2893 = "Vik"	#NWCN
2881 = "Strömsbergen"	#NWCN
2903 = "Breitholtz"	#NWCN
2902 = "Knorring"	#NWCN
2901 = "Sindal"	#NWCN
2904 = "Stedingkdal"	#NWCN
2905 = "Anglö"	#NWCN
2907 = "Östana"	#NWCN
2919 = "Skjöldebrand"	#NWCN
2892 = "Västana"	#NWCN
2894 = "Svinningen"	#NWCN
2899 = "Rikstad"	#NWCN
2898 = "Vannaröd"	#NWCN
2916 = "Leijonsted"	#NWCN
2917 = "Skärbäk"	#NWCN
2918 = "Lagerstråle? "	#NWCN
2891 = "Gudeberg"	#NWCN
2908 = "Skagge"	#NWCN
2909 = "Skelligeborg"	#NWCN
2911 = "Hästäng"	#NWCN
2923 = "Leijonsköld"	#NWCN
2925 = "Palander af Vega"	#NWCN
2885 = "Oksbö"	#NWCN
2914 = "Örtöfta"	#NWCN
2913 = "Övedskloster"	#NWCN
2912 = "Holsted"	#NWCN
2915 = "Ugglasen"	#NWCN
750 = "Sankt Göran"	#NWCN
2922 = "Sorgerberg"	#NWCN
754 = "Warnsted"	#NWCN
2886 = "Rödborg"	#NWCN
2924 = "Uexkull"	#NWCN
2927 = "Holbäkslot"	#NWCN
2929 = "Fulkila"	#NWCN
2890 = "Tyrsö"	#NWCN
2938 = "Stjernsted"	#NWCN
2935 = "Smalkalden"	#NWCN
2933 = "Vestborg"	#NWCN
745 = "Berwaldsby"	#NWCN
2931 = "Örenäs"	#NWCN
2803 = "Barima"	#NWCN
2805 = "Torpa"	#NWCN
742 = "Lodby"	#NWCN
2939 = "Gyllenhaalsby"	#NWCN
2810 = "Pålsjöborg"	#NWCN
2809 = "Hyddaby"	#NWCN
2808 = "Ljungby"	#NWCN
2807 = "Duborg"	#NWCN
2813 = "Nyköping"	#NWCN
2617 = "Varmvatten"	#NWCN
2668 = "Vrams Gunnarstorp"	#NWCN
2614 = "Estridssonheim"	#NWCN
2619 = "Bogesund"	#NWCN
2667 = "Nykvarn"	#NWCN
2618 = "Hammondlanda"	#NWCN
2616 = "Christiansborg"	#NWCN
2620 = "Brokind"	#NWCN
2476 = "Halmstad"	#NWCN
2478 = "Södertäljefordran"	#NWCN
2479 = "Arboga"	#NWCN
2480 = "Fort Johan"	#NWCN
2477 = "Tegner"	#NWCN
2481 = "Kratersjön"	#NWCN
2482 = "Schlippenbach"	#NWCN
2485 = "Olympia"	#NWCN
2484 = "Karlsborg"	#NWCN
2491 = "Nya Varberg"	#NWCN
2493 = "Flaggstång"	#NWCN
2494 = "Västhammar"	#NWCN
2492 = "Rödsten"	#NWCN
2495 = "Torkilluskyrka"	#NWCN
2496 = "Nya Dahlberg"	#NWCN
2497 = "Mittland"	#NWCN
2498 = "Borrby"	#NWCN
2666 = "Tvillingstäder"	#NWCN
2499 = "Bränt Berg"	#NWCN
2500 = "Hjoby"	#NWCN
2665 = "Vallenby"	#NWCN
2669 = "Öster Malma"	#NWCN
2509 = "Nya Falun"	#NWCN
2672 = "Lindsborg"	#NWCN
2625 = "Nya Vadstena"	#NWCN
2507 = "Nya Uleåborg"	#NWCN
2508 = "Nya Tunaborgen"	#NWCN
2512 = "Borgholm"	#NWCN
2517 = "Ronneby"	#NWCN
2518 = "Skandia"	#NWCN
2513 = "Karlstad"	#NWCN
2519 = "Biskopskulla"	#NWCN
2520 = "Galva"	#NWCN
2514 = "Åminneby"	#NWCN
2515 = "Risinghsdal"	#NWCN
2516 = "Limingosoop"	#NWCN
2530 = "Vadstena"	#NWCN
