#List
80 = "Tréier"								#Trier						|			01.06.18
90 = "Flandern"								#Vlaanderen					|			01.06.18
91 = "Hainaut"								#Hainaut					|			01.06.18
93 = "Léck"									#Liege						|checked	01.06.18
94 = "Lëtzebuerg"							#Luxemburg					|checked	01.06.18
1095 = "Falkland Inselen"					#Falklands					|			13.06.18
1887 = "Oochen"								#Aachen						|			16.07.20

#Benelux


92 = "Brabant"			#Brabant
28 = "Neuland"			#Nyland
29 = "Tawastland"			#Tavastland			
1984 = "Nordjütland"			#Nordjylland
#Poland
254 = "Posen"				#Poznan
257 = "Warschau"			#Warszawa
258 = "Schieratz"			#Sieradz
259 = "Sandomir"			#Sandomierz
262 = "Krakau"				#Krakow
269 = "Podlachien"			#Podlasie
1939 = "Lentschitza"			#Leczyca
1940 = "Bels"				#Belz
2709 = "Premissel"			#Przemysl
2528 = "Tarnau"				#Tarnow
2527 = "Neu Sandec"			#Nowy Sacz
2533 = "Netze"				#Notec
2561 = "Tuchel"				#Pomorskie
#Italy
101 = "Genua"				#Genoa
102 = "Nizza"				#Nice
104 = "Lombardei"			#Milan
106 = "Muden"				#Modena
107 = "Welsch-Brixen"			#Brescia
108 = "Welsch-Bern"			#Verona
111 = "Friaul"				#Friuli
112 = "Venedeg"			#Venezia
114 = "Romanei"			#Romagna
116 = "Florenz"			#Firenze
118 = "Roum"				#Roma
120 = "Abruzzen"			#Abruzzi
121 = "Neapel"				#Napoli
123 = "Kalabrien"			#Calabria
205 = "Savoyen"			#Savoie
1745 = "Kantabrien"			#Cantabria
1862 = "Kremun"				#Cremona
1934 = "Lukanien"			#Lucania
2544 = "Umbrien"			#Umbria
2551 = "Syrakus"			#Siracusa
#France	
87 = "Kalen"				#Calais
88 = "Artesien"			#Artois
170 = "Ende der Erde"			#Finistere
180 = "Piktavien"			#Poitou
196 = "Tholosen"			#Toulouse
1247 = "Korsika"			#Corsica
#Iberia
206 = "Galicien"			#Galicia
207 = "Asturien"			#Asturias
214 = "Saragossa"			#Zaragoza
215 = "Altkastilien"			#Castilla la Vieja
220 = "Valentz"			#Valencia
227 = "Lissabon"			#Lisboa
333 = "Balearen"			#The Baleares
#Slovakia
154 = "Neutra"				#Ersekujvar
162 = "Kaschau"			#Zemplen
3258 = "Zips"				#Spis
1772 = "Pressburg"			#Pozsony
1952 = "Marmarosch"			#Maramaros
#Czechia
265 = "Mähren"				#Moravia
266 = "Prag"				#Praha	
267 = "Pilsen"				#Plzen
2537 = "Budweis"			#Budejovice
2540 = "Königgrätz"			#Hradecko
4125 = "Eger"				#Eger
#Hungary
135 = "Ödenburg"			#Sopron
1864 = "Schomodei"			#Somogy
1953 = "Saboltsch"			#Szabolcs
4126 = "Batschka"              		#Bacs
#Croatia
130  = "Istrien"			#Istria
131  = "Agram"				#Zagreb
152  = "Warasdin"			#Belovar		
1767 = "Slawonien"			#Slavonia
1831 = "Travunien"			#Travunia
2013 = "Sarajewo"			#Visoki
#Serbia
138  = "Schwarzenberg"			#Zeta
1827 = "Raschka"			#Raska
2564 = "Nisch"				#Nis
#Romania
156  = "Temesch"
157  = "Bihor"				#Bihar
158  = "Marosch"			#Maros
160  = "Oltenien"			#Oltenia
161  = "Tergowisch"			#Tirgoviste	
1756 = "Bessarabien"			#Bessarabia
1951 = "Eisenmarkt"
#Bulgaria
4704  = "Tarnowo"			#Tarnovo
2874 = "Widin"				#Vidin
2871 = "Plowdiw"			#Plovdiv
#Greece	
142  = "Korfu"				#Corfu
145  = "Peloponnes"			#Morea
146  = "Athen"				#Athens
147  = "Thessalien"			#Salonica
163  = "Kreta"				#Crete
321  = "Zypern"				#Cyprus
1773 = "Achaia"				#Achaea
148 = "Thessalonich"			#Thessaloniki
2566 = "Euböa"				#Euboea
4699 = "Ätolien"			#Aetolia
#Turkey
149  = "Adrianopel"			#Edirne
151  = "Konstantinopel"			#Constantinople
2241 = "Antiochia am Orontes"		#Antioch
#Ukraine	
261  = "Halitsch"			#Halicz
279  = "Wolhynien"			#Volhynia
280  = "Kiew"				#Kiev
281  = "Podolien"			#Podolia
283  = "Saporoschje"			#Zaporozhia
284  = "Krim"				#Crimea
285  = "Kaffa"				#Caffa
289  = "Tschernihiw"			#Chernigov
291  = "Charkiw"			#Kharkov
1942 = "Schytomyr"			#Zhytomyr
1943 = "Brazlaw"			#Bratslav
1945 = "Nowhorod-Siwerskyj"		#Siveria
1974 = "Cherson"			#Kherson
2676 = "Mykolajiw"			#Nikolaev
2678 = "Luhansk"			#Bahmut
2688 = "Jekaterinoslaw"			#Mansur
626 = "Mariupol"			#Kyzyl-Var
628 = "Donezk"				#Tyn
2531 = "Lemberg"			#Lvov
2532 = "Riwne"				#Rovne
#Baltics
37   = "Liefland"			#Livland
271  = "Schemaiten"			#Samogitia
273  = "Lettgallen"			#Latgalia
1834 = "Dörpt"				#Dorpat
1842 = "Narwa"				#Narva
1936 = "Kauen"				#Kovno
#Belarus
275  = "Polazk"				#Polotsk
277  = "Brest-Litowsk"			#Brest
292  = "Mahiljou"			#Mogilev
2857  = "Wizebsk"			#Vitebsk
1937 = "Garten"				#Grodno
1941 = "Turau"				#Turov
#Russia	
33   = "Newa"				#Neva
274  = "Pleskau"			#Pskov
286  = "Asow"				#Azov
294  = "Twer"				#Tver
295  = "Moskau"				#Moskva
308  = "Jaroslawl"			#Yaroslavl
310  = "Neugarten"			#Novgorod
313  = "Erzengelstadt"			#Soroka
1776 = "Karelien"			#Karelia
1960 = "Insel"				#Ostrov
1971 = "Zarizyn"			#Tsaritsyn
#Morrocco
344  = "Marrakesch"			#Marrakesh
#Syria
382  = "Damaskus"			#Damascus
#Egypt
358  = "Alexandrien"			#Alexandria
361  = "Kairo"				#Cairo
#The Americas
493  = "Sankt Thomas"			#St. Thomas
502  = "Neu-Kurland"			#Trinidad
830  = "Neu-Nürnberg"			#Maracaibo
1139 = "Fort Dorothea"			#Gold Coast
2396 = "Groß Friedrichsburg"		#Cape Coast	
2913 = "Neu-Augsburg"			#Coro
