#List
44 = { "Hànbao"	"Hànbao" }				#Hamburg					|Incomplete		09.10.23
2393 = "Dengjialou"
2392 = { "Xuezhou" "Xuezhou" }			#Selangor					|incomplete		10.10.23
2704 = { "Shiwu" "Shiwu" }				#Sibu						|incomplete		26.05.19
2132 = { "Mángkang"	"Mángkang" }		#Markam						|				17.05.19
2119 = { "Tachéng" "Tachéng" }			#Chuguchak					|incomplete		07.08.23
2123 = { "Qiakèlikè" "Qiakèlikè" }		#Qakilik					|incomplete		05.02.22
2184 = { "Xiníng" "Xiníng" }			#Xining						|incomplete		10.10.23
2182 = { "Liángzhou" "Liángzhou" }		#Liangzhou					|incomplete		10.10.23
2170 = { "Sòngzhou" "Sòngzhou" }		#Songqu						|incomplete		10.10.23
2167 = { "Lìjiang" "Lìjiang" }			#Lijiang					|incomplete		10.10.23
2166 = { "Déhóng" "Déhóng" }			#Dehong						|checked 		19.05.18
2164 = { "Nánníng" "Nánníng" }			#Nanning					|checked 		19.05.18
2161 = { "Liánzhou"	"Liánzhou" }		#Lianzhou					|incomplete		02.02.21
2159 = { "Léizhou" "Léizhou" }			#Leichow					|incomplete		10.10.23
2160 = { "Yázhou" "Yázhou" }			#Ngaichow					|incomplete		10.10.23
2162 = { "Wúzhou" "Wúzhou" }			#Ngchow						|incomplete		10.10.23
2158 = { "Sháoguan" "Sháoguan" }		#Shiukwan					|incomplete		10.10.23
2157 = { "Huìzhou" "Huìzhou" }			#Waichow					|incomplete		10.10.23
2156 = { "Cháozhou"	"Cháozhou" }		#Chaozhou					|incomplete		09.10.23
2152 = { "Jiànníng" "Jiànníng" }		#Jianning					|checked 		19.05.18
2149 = { "Níngbo" "Níngbo" }			#Ningbo						|incomplete		09.10.23
2146 = { "Níngguó" "Níngguó" }			#Ningguo					|checked 		19.05.18
2151 = { "Póyáng" "Póyáng" }			#Poyang						|checked 		19.05.18
2169 = { "Lángzhong" "Lángzhong" }		#Langzhong					|incomplete		09.10.23
2171 = { "Xiangyáng" "Xiangyáng" }		#Xiangyang					|incomplete		09.10.23
2173 = { "Yuánlíng"	"Yuánlíng" }		#Yuanling					|checked 		19.05.18
2174 = { "Héngyáng"	"Héngyáng" }		#Hengyang					|checked 		19.05.18
2175 = { "Runíng" "Runíng" }			#Runing						|incomplete		12.05.20
2191 = { "Éjinà" "Éjinà" }				#Ejin						|incomplete		05.02.22
681 = { "Yíchang" "Yíchang" }			#Yichang					|incomplete		10.10.23
1836 = { "Luòyáng" "Luòyáng" }			#Luoyang					|checked 		19.05.18
2144 = { "Fuyáng" "Fuyáng" }			#Fuyang						|incomplete		10.10.23
2141 = { "Xúzhou" "Xúzhou" }			#Xuzhou						|incomplete		10.10.23
2143 = { "Fèngyáng"	"Fèngyáng" }		#Fengyang					|checked 		19.05.18
2145 = { "Zhènjiang" "Zhènjiang" }		#Zhenjiang					|incomplete		10.10.23
685 = { "Yángzhou" "Yángzhou" }			#Yangzhou					|incomplete		11.10.23
2138 = { "Wúdìng" "Wúdìng" }			#Wuding						|				02.06.20
2137 = { "Dàmíng" "Dàmíng" }			#Daming						|				03.06.20
692 = { "Huáiqìng" "Huáiqìng }			#Huaiqing					|				01.06.20
2178 = { "Lù'an" "Lù'an" }				#Lu'an						|				03.06.20
693 = { "Tàiyuán" "Tàiyuán"	}			#Taiyuan					|checked 		19.05.18
2179 = { "Yán'an" "Yán'an" }			#Yan'an						|				03.06.20
2181 = { "Píngliàng" "Píngliàng" }		#Pingliang					|checked 		19.05.18
2113 = { "Gàizhou" "Gàizhou" }			#Gaizhou					|incomplete		10.10.23
4227 = { "Dàqiu" "Dàqiu" }				#Daegu						|				02.02.21
734 = { "Yuánzhou" "Yuánzhou" }			#Wonju						|				02.02.21
2744 = { "Níngbian"	"Níngbian" }		#Nyongbyon					|incomplete		02.02.21
2743 = { "Jìngchéng" "Jìngchéng" }		#Gyeongseong				|				02.02.21
2155 = { "Táizhong" "Táizhong" }		#Middag						|incomplete		10.10.23
2154 = { "Táibei" "Táibei" }			#Kelam						|incomplete		10.10.23
2183 = { "Táozhou" "Táozhou" }			#Taozhou					|incomplete		05.02.22
2122 = { "Hamì" "Hamì" }				#Hami						|incomplete		10.10.23
2677 = { "Zhànbei" "Zhànbei" }			#Jambi						|incomplete		26.02.22
2686 = { "Míndan" "Danróng Binláng" }	#Bintan						|incomplete		10.10.23
2691 = { "Jiànyìli"	"Jiànyìli" }		#Kediri						|incomplete		09.04.23
2748 = { "Jiànchang" "Jiànchang }		#Jianchang					|				14.05.20
3239 = "Liuhuang Dao"
4194 = { "Yongpíng" "Yongpíng" }		#Yongping					|incomplete		12.02.19
4195 = { "Zhèngdìng" "Zhèngdìng" }		#Zhending					|checked 		19.05.18
4197 = { "Huángzhou" "Huángzhou" }		#Huangzhou					|incomplete		10.10.23
4198 = { "Fèngxiáng" "Fèngxiáng" }		#Fengxiang					|checked 		19.05.18
4199 = { "Tóngrén" "Tóngrén" }			#Tongren					|checked 		19.05.18
4201 = { "Jiànzhou"	"Jiànzhou" }		#Jianzhou					|incomplete		03.02.21
4204 = { "Andìng" "Andìng" }			#Anding						|incomplete		05.12.20
4207 = { "Tulufán" "Tulufán" }			#Turpan						|incomplete		05.02.22
4209 = "Bachu"							#Maralbexi					|incomplete/alternative
4211 = { "Dázhou" "Dázhou" }			#Dazhou						|incomplete		10.10.23
4213 = { "Lúzhou" "Lúzhou" }			#Luzhou						|				12.05.20
4231 = { "Haizhou" "Haizhou" }			#Haeju						|incomplete		29.09.19
4515 = { "Jílóng" "Zonggá" }			#Gyirong					|				04.10.19
4516 = { "Pulán" "Pulán" }				#Purang						|incomplete		29.01.22
4678 = "Badan Jílín"					#Badain Jaran				|incomplete		05.02.22
4683 = "Alètài"							#Altay						|				22.04.20	
4773 = { "Getínggen" "Getínggen" }		#Göttingen					|incomplete		28.02.22
4794 = { "Maláng" "Maláng" }			#Malang						|incomplete		09.04.23
4806 = { "Jiabó" "Jiabó" }				#Kapit						|incomplete		09.04.23
4812 = { "Yílì"	"Yílì" }				#Gerik						|				12.03.22
4819 = { "Guangníng" "Xiàlóng" }		#Quang Ninh					|incomplete		14.03.22
4821 = { "Yì'an" "Yì'an" }				#Nghe an					|incomplete		25.02.22

#Korea
732 = "Xianjin"
733 = "Huanghai"
2694 = "Jiangyuan"
2745 = "Qingshang"
737 = "Quanluo"
1013 = "Zhongqing"

1823 = "Shangding"
1845 = "Ping'an"
2742 = "Qingjin"
2741 = "Jizhou"

#China
2129 = "Qiangtang"
2131 = "Changdu"
2135 = "Ganzi"
701 = "Erduosi"
2747 = "Langshan"
705 = "Jiegu"
2134 = "Tongren"
709 = "Alashan"
710 = "Hetian"
711 = "Qiemo"
713 = "Bieshibalihang"
715 = "Wulumuqi"
722 = "Zhelimu"
723 = "Xilinhaote"
2109 = "Bodouna"
728 = "Tangwang"
731 = "Yilashi"
730 = "Jílín"
1022 = "Xiangang"				#Da Nang
1053 = "Xing'an"
1784 = "Tianshan"
4210 = "Congling"
1787 = "Ximalaya"
2128 = "Alidiqu"
676 = "Rikaze"
2130 = "Linzhi"
2132 = "Mangkang"
4522 = "Kunlunshan"

702 = "Huhehaote"
2114 = "Erlianhaote"
2115 = "Chaha'er"
2111 = "Hetu'ala"
725 = "Qiqihar"
2187 = "Sa'ertu"
2188 = "Acheng"
2185 = "Nenjiang"
727 = "Aihun"
2124 = "Shache"
2121 = "Qiuci"
2192 = "Kuerlei"
714 = "Hebukesaier"

#Mongolia
717 = "Kelulunhe"
718 = "Kebuduo"
719 = "Wuliyasu"
720 = "Donggebi"
721 = "Sangbeizi"
2117 = "Zhasaketu"
2193 = "Gebi"
2190 = "Halahelin"
2189 = "Checheerleige"
2116 = "Dakulun"
#Russia
716 = "Tangnu Tuwa"
729 = "Boli"
1034 = "Kanchajia"
1035 = "Pinrenna"
1041 = "Jirijin"
1043 = "Ehuocike"
1044 = "Majiadan"
1047 = "Zhugezhuer"
1049 = "Hailanpao"
1050 = "Heilongjianghekou"
1052 = "Wài xìng'an"				#Stanowoi				|checked			
1055 = "Jilingjia"
1056 = "Baergujin"
1057 = "Wulanwude"
1058 = "Enenhe"
1060 = "Beijiaer"
2106 = "Haishenwie"
2104 = "Bulie"
1048 = "Miaojie"
2105 = "Walun"
2186 = "Yiman"
1850 = "Yezhuhe"
1066 = "A'ertai"
2446 = "Qiala"
2102 = "Jieya"
2440 = "Kajilin"
#British Isles
236 = "Lundun"
#United States
977 = "Yakutate"
978 = "Jinai"
979 = "Aliushen"
1810 = "Alasijia"
2612 = "Aiyake"
2611 = "Kediyake"
#Philippines
655 = "Balawang"			#Palawan
2698 = "Limkiatung"			#Pangasinan
4350 = "Mai"				#Mindano
4352 = "Suwu"				#Cebu
4356 = "Kiamayen"			#Taytay
