#Country Name: Please seefilename.
graphical_culture = polynesiangfx
color = { 200 215 130 }
#revolutionary_colors = { 10 8 5 } 
historical_idea_groups = {
  maritime_ideas
  indigenous_ideas
  economic_ideas
  naval_ideas
  religious_ideas
  trade_ideas
  defensive_ideas
  spy_ideas
}
historical_units = {
  pacific_spearman
  pacific_reformed_spearman
  pacific_horseman
  pacific_island_warriors
  pacific_cavalry
  pacific_arquebusier
  pacific_hussar
  pacific_swarm_cav
  pacific_riflemen
  pacific_dragoon
  pacific_guerrillas
}
monarch_names = {
  "阿阿塔 #0" = 1 	# Aata #0
  "伊埃尼" 	# Ieni
  "伊埃特佩雷" 	# Ietepere
  "伊埃托罗" 	# Ietoro
  "伊海阿" 	# Ihaia
  "伊哈卡" 	# Ihaka
  "伊胡" 	# Ihu
  "伊卡罗阿" 	# Ikaroa
  "伊奥拉马" 	# Iorama
  "伊奥拉宜" 	# Iorangi
  "伊奥塔马" 	# Iotama
  "伊赖阿" 	# Iraia
  "伊里拉宜" 	# Irirangi
  "伊维" 	# Iwi
  "卡胡拉宜" 	# Kahurangi
  "凯" 	# Kai
  "凯豪图" 	# Kaihautu
  "卡马卡" 	# Kamaka
  "考里" 	# Kauri
  "科拉卡" 	# Koraka
  "马哈卡" 	# Mahaka
  "马纳阿基" 	# Manaaki
  "马奈阿" 	# Manaia
  "马纳瓦" 	# Manawa
  "马提乌" 	# Matiu
  "莫阿那" 	# Moana
  "尼考" 	# Nikau
  "普尔塔" 	# Purta
  "普塔" 	# Puta
  "拉宜" 	# Rangi
  "拉帕塔" 	# Rapata
  "拉维里" 	# Rawiri
  "罗鄂" 	# Rongo
  "罗帕塔" 	# Ropata
  "鲁鲁" 	# Ruru
  "泰" 	# Tai
  "泰卡" 	# Taika
  "塔马" 	# Tama
  "塔内" 	# Tane
  "塔内马胡塔" 	# Tanemahuta
  "塔雅罗阿" 	# Tangaroa
  "塔韦拉" 	# Tawera
  "塔菲里" 	# Tawhiri
  "塔因" 	# Tayn
  "特-阿里基" 	# Te-Ariki
  "提阿" 	# Tia
  "图伊" 	# Tui
}
ship_names = {
  "欧提亚" 	# Aotea
  "奥特亚罗瓦" 	# Aotearoa
  "亚拉胡拉" 	# Arahura
  "阿拉伊图鲁" 	# Araiteuru
  "阿罗塔塔" 	# Arautauta
  "西纳基帕考-奥-特-鲁佩" 	# Hinakipakau-o-te-Rupe
  "侯罗塔" 	# Horouta
  "卡胡塔拉" 	# Kahutara
  "卡拉埃拉埃" 	# Karaerae
  "库拉昊普" 	# Kurahaupo
  "梅安哈图阿姆图拉" 	# Mahanhaatuamatua
  "马胡库-基-特-拉宜" 	# Mahuku-ki-te-Rangi
  "马努卡" 	# Manuka
  "马马里" 	# Mamari
  "马塔图阿" 	# Mataatua
  "马塔侯鲁阿" 	# Matahourua
  "莫伊卡卡拉" 	# Moekakara
  "莫图莫阿熙" 	# Motumotuahi
  "那托基马塔斐奥拉" 	# Ngatokimatawhaorua
  "努库-泰-米米哈" 	# Nuku-tai-Memeha
  "努库特雷" 	# Nukutere
  "奥科基" 	# Okoki
  "奥图雷里奥" 	# Oturereao
  "潘戈图鲁" 	# Pangatoru
  "瑞奥卡卡拉" 	# Riukakara
  "卢婀卡拉梅亚" 	# Ruakaramea
  "塔哈图那" 	# Tahatuna
  "泰科里亚" 	# Taikoria
  "泰瑞亚" 	# Tairea
  "塔基提穆" 	# Takitimu
  "陶维拉" 	# Tauira
  "塔菲里拉宜" 	# Tawhirirangi
  "特-阿拉陶斐迪" 	# Te-Aratauwhaiti
  "特-阿拉特斐奥" 	# Te-Aratawhao
  "特-阿拉瓦" 	# Te-Arawa
  "特-胡耶里" 	# Te-Hoiere
  "特-科瓦图斐那亚" 	# Te-Kohatuwhenua
  "特-马玛鲁" 	# Te-Mamaru
  "特-派派-基-拉罗佟阿" 	# Te-Paepae-ki-Rarotonga
  "特-拉宜马托鲁" 	# Te-Rangimatoru
  "特-拉宜乌阿穆图" 	# Te-Rangiuamutu
  "特-雷雷诺" 	# Te-Ririno
  "特-瓦卡林戈林卡" 	# Te-Wakaringaringa
  "特-维卡图斐诺亚" 	# Te-Wakatuwhenua
  "蒂那娜" 	# Tinana
  "托库马鲁" 	# Tokomaru
  "托塔拉-伊-卡里亚" 	# Totara-i-Karia
  "图努伊-阿-拉宜" 	# Tunui-a-Rangi
  "图斐诺阿" 	# Tuwhenua
  "乌奥卡普兰尼" 	# Uruaokapuarangi
  "瓦伊帕帕" 	# Waipapa
}
