#Country Name: Please see filename.
graphical_culture = southamericagfx
color = { 94 96 11 }
revolutionary_colors = { 9 12 9 }
historical_idea_groups = {
  religious_ideas
  defensive_ideas
  offensive_ideas
  maritime_ideas
  trade_ideas
  spy_ideas
  diplomatic_ideas
  economic_ideas
}
historical_units = {
  mesoamerican_spearmen
  central_american_horsemen
  maya_tribal_warfare
  maya_forest_warfare
  maya_gunpowder_warfare
  westernized_mayan
  maya_guerilla_warfare
}
leader_names = {
  "阿金索克" 	# Ahkinxoc
  "科潘" 	# Copan
  "风拂之水" 	# Coba
  "奇琴伊察" 	# Chichen Itza
  "石上之书" 	# Dzibilchaltun
  "彩绘之穹" 	# Dzibilnocac
  "裸露之地" 	# Dzilam
  "双井之地" 	# Dos Pilas
  "蜱虫之地" 	# Cahal Pech
  "伊查之家" 	# Edzná
  "黑土" 	# Ekab
  "黑豹" 	# Ek'Balam
  "枯苇之地" 	# Gumarcaj
  "羽蛇神" 	# Gucumatz
  "粟芯储地" 	# Hocchob
  "土垤" 	# Hormiguero
  "乌纳普" 	# Hunahpu
  "独腿天神" 	# Huracan
  "伊斯巴兰克" 	# Ixbalanque
  "孕产女神" 	# Ixchel
  "绳吊女神" 	# Ixtab
  "伊奇马克" 	# Ichmac
  "土丘之间" 	# Ichmul
  "伊察" 	# Itzan
  "林立之地" 	# Ixil
  "粟树" 	# Iximche
  "鲶鱼" 	# Ixlu
  "天降甘露" 	# Izamal
  "草药女神" 	# Ix Chel
  "旧房子" 	# Labná
  "路易斯维尔" 	# Louisville
  "落石之地" 	# Lubaantun
  "落石之地" 	# Lubaantun
  "水中神庙" 	# Jaina
  "水源尽头" 	# Jolja
  "赛伦宝石" 	# Joya de Cerén
  "先祖之地" 	# Kaminaljuyu
  "强力之手" 	# Kabah
  "欢聚之地" 	# Kiuic
  "黄石之日" 	# Kantunil Kin
  "潜游鳄鱼" 	# Lamanai
  "玛雅潘" 	# Mayapan
  "玛查奎拉" 	# Machaquila
  "包罗万象" 	# Mani
  "穆卢奇策克尔" 	# Muluchtzekel
  "野兔栖地" 	# Muyil
  "锅炉房" 	# Nakum
  "路边之城" 	# Nakbe
  "纳兰霍" 	# Naranjo
  "心脏" 	# Nebaj
  "大帽子" 	# Nim Li Punit
  "湖泊" 	# Okop
  "三火鸡" 	# Oxcutzcab
  "三日石" 	# Oxkintok
  "帕伦克" 	# Palenque
  "树脂房" 	# Pomoná
  "普西利亚" 	# Pusilha
  "黑石" 	# Piedras Negras
  "奎里古阿" 	# Quirigua
  "蔚蓝之河" 	# Rio Azul
  "骨角河" 	# Rio Bec
  "切叶蚁栖地" 	# Sayil
  "木棉树林" 	# Seibal
  "西西拉" 	# Sisila
  "石房子" 	# Tonina
  "蒂卡尔" 	# Tikal
  "图卢姆" 	# Tulum
  "坦卡" 	# Tancah
  "噬魂之地" 	# Tazumal
  "山狮栖地" 	# Tecoh
  "面包树种" 	# Topoxté
  "乌斯马尔" 	# Uxmal
  "八石之地" 	# Uaxactun
  "乌卡纳尔" 	# Ucanal
  "乌琪" 	# Uci
  "枯蔗之地" 	# Utatlan
  "悬崖" 	# Waká
  "日下沃土" 	# Xcalumkin
  "斯卡雷特" 	# Xcaret
  "斯克拉彻" 	# Xcorralche
  "斯库苏克" 	# Xcucsuc
  "斯库罗克" 	# Xculoc
  "老旧城墙" 	# Xlapak
  "猫尾" 	# Xpuhil
  "尽头之石" 	# Xultun
  "岩之少女" 	# Xunantunich
  "亚克迈" 	# Yaklmai
  "碧绿之石" 	# Yaxchilan
  "青蓝之水" 	# Yaxha
  "条状湖" 	# Yo'okop
  "鳄魔" 	# Zipacna
  "白土" 	# Zaculeu
}
