#Country Name: Please see filename.
graphical_culture = westerngfx
color = { 95 106 207 }
revolutionary_colors = { 8 5 8 }
historical_idea_groups = {
  administrative_ideas
  defensive_ideas
  trade_ideas
  economic_ideas
  offensive_ideas
  diplomatic_ideas
  innovativeness_ideas
  expansion_ideas
}
historical_units = {
  halberd_infantry
  western_medieval_knights
  western_men_at_arms
  swiss_landsknechten
  dutch_maurician
  french_caracolle
  anglofrench_line
  french_dragoon
  french_bluecoat
  french_cuirassier
  french_impulse
  mixed_order_infantry
  open_order_cavalry
  napoleonic_square
  napoleonic_lancers
}
monarch_names = {
  "洛泰尔 #2" = 100 	# Lothair #2
  "德屈索" 	# de Cuiseaux
  "德达玛斯" 	# de Damas
  "德达马尔坦" 	# de Dammartin
  "德栋济" 	# de Donzy
  "德迪奥" 	# de Dyo
  "德埃格蒙" 	# d'Egmont
  "德费雷特" 	# de Ferrette
  "德 拉朗" 	# de Lalaing
  "德 拉诺伊" 	# de Lannoy
  "勒 康涅" 	# le Corgne
  "德吕尼" 	# de Lugny
  "德 马尔勒" 	# de Marle
  "德 默伦" 	# de Melun
  "德蒙福孔" 	# de Montfaucon
  "纳居 德瓦雷讷" 	# Nagu de Varennes
  "德南顿" 	# de Nanton
  "德 讷沙泰勒" 	# de Neufchâtel
  "德努瓦耶勒" 	# de Noyelles
  "德蓬塔耶" 	# de Pontailler
  "德 拉 波特" 	# de la Porte
  "波 德 拉 罗什" 	# Pot de la Roche
  "德 罗什巴隆" 	# de Rochebaron
  "德 罗什舒瓦尔" 	# de Rochechouart
  "德 鲁瓦" 	# de Roye
  "德 斯克莱耶" 	# de Scorailles
  "德 塞缪" 	# de Sémur
  "德 泰尔南" 	# de Ternant
  "德 托内尔" 	# de Tonnerre
  "德 图西" 	# de Toucy
  "德 图隆容" 	# de Toulonjon
  "德 沃布勒松" 	# de Vaubresson
  "德 沃德雷" 	# de Vaudrey
  "德 韦勒克松" 	# de Vellexon
  "德 维尔吉" 	# de Vergy
  "德 维埃纳" 	# de Vienne
  "德 维莱恩" 	# de Villaines
  "德 维里埃" 	# de Villiers
  "德 蒙苏里斯" 	# de Montsouris
  "利卡布耶" 	# l'Écrabouilleur
}
ship_names = {
  "阿尔芒松河" 	# l'Armançon
  "阿鲁河" 	# l'Arroux
  "勃艮第" 	# le Bourgogne
  "布鲁日" 	# le Bruges
  "康布雷" 	# le Cambrai
  "第戎堡" 	# le Castrum Divionense
  "希尔德贝" 	# le Childebert
  "希尔德贝二世" 	# le Childebert II
  "希尔佩里克" 	# le Chilpéric
  "西托" 	# le Cîteaux
  "克洛泰尔" 	# le Clotaire
  "克吕尼" 	# le Cluny
  "伯爵夫人" 	# la Comtesse
  "黄金海岸" 	# le Côte-d'Or
  "第戎" 	# le Dijon
  "勃艮第公爵" 	# le Duc-de-Bourgogne
  "公爵夫人" 	# la Duchesse
  "吉比卡" 	# le Gibica
  "吉赛尔赫" 	# le Giselher
  "戈迪吉塞尔" 	# le Godégisel
  "贡德里赫" 	# le Gondéric
  "贡德博" 	# le Gondebaud
  "贡德马尔" 	# le Gondemar
  "贡德马尔二世" 	# le Gondemar II
  "巩特尔" 	# le Gunther
  "贡特朗" 	# le Gontran
  "无畏的约翰" 	# le Jean-sans-Peur
  "勃艮第的玛丽" 	# la Marie-de-Bourgogne
  "好人腓力" 	# le Philippe-le-Bon
  "无畏者腓力" 	# le Philippe-le-Hardi
  "勃艮第的里夏尔" 	# le Richard-de-Bourgogne
  "索恩" 	# la Saône
  "西吉斯蒙德" 	# le Sigismond
  "提乌德贝尔特" 	# le Théodebert
  "提乌德贝尔特二世" 	# le Theudéric II
  "韦兹莱" 	# le Vézelay
  "克洛特希尔德" 	# la Clotilde
  "伊沃琪德" 	# l'Evochilde
  "拉·布鲁诺" 	# la Brunehaut
  "拉·蒂迪兰" 	# la Thidilane
  "拉·菲卢比" 	# la Faileube
  "阿德莱德" 	# l'Adélaïde
  "伟大的贝尔特" 	# la Grande Berthe
  "拉 西奥德拉德" 	# la Théodrade
  "安斯加德" 	# l'Ansgarde
  "拉·吉赛勒" 	# la Gisèle
  "拉·贝亚特丽斯" 	# la Béatrice
  "提欧德希尔德" 	# la Théodechilde
  "查理曼再临" 	# le Charlemagne retourné
  "丕平之短" 	# la Brièveté de Pépin
}
army_names = {
  "洛泰尔之子" 	# Les Fils de Lothair
  "克洛维之剑" 	# Les Épees de Cloves
  "查理曼圣枪" 	# Les Lances de Charlemagne
  "沙罗勒军" 	# Armée du Charolais
  "沙隆军" 	# Armée de Chalon
  "孔泰军" 	# Armée du Comté
  "欧坦军" 	# Armée de l'Autunois
  "马孔军" 	# Armée du Mâconnais
  "奥塞尔军" 	# Armée de l'Auxerrois
  "阿瓦隆军" 	# Armée de l'Avallonnais
  "托内尔军" 	# Armée de Tonnerre
  "奥克松军" 	# Armée de l'Auxonnois
  "索恩军" 	# Armée de la Saône
  "$PROVINCE$军" 	# Armée de $PROVINCE$
}
