#Country Name: Please see filename.
graphical_culture = westerngfx
color = { 106 178 46 }
revolutionary_colors = { 15 0 16 }
historical_idea_groups = {
  defensive_ideas
  trade_ideas
  religious_ideas
  diplomatic_ideas
  economic_ideas
  innovativeness_ideas
  offensive_ideas
  spy_ideas
}
historical_units = {
  western_medieval_infantry
  western_medieval_knights
  western_men_at_arms
  italian_condotta
  swiss_landsknechten
  french_caracolle
  anglofrench_line
  french_dragoon
  french_bluecoat
  french_cuirassier
  french_impulse
  mixed_order_infantry
  open_order_cavalry
  napoleonic_square
  napoleonic_lancers
}
monarch_names = {
  "蒂亚多鲁 #0" = 20 	# Tiadoru #0
  "扎卡里亚 #0" = 0 	# Zaccaria #0
  "玛丽亚 #0" = -1 	# Maria #0
  "于格特 #0" = -1 	# Huguette #0
  "佩内洛佩 #0" = -1 	# Pénélope #0
}
leader_names = {
  "阿夸维瓦" 	# Acquaviva
  "阿戈斯蒂尼" 	# Agostini
  "阿尔贝蒂尼" 	# Albertini
  "安杰利" 	# Angeli
  "阿比埃托" 	# Appietto
  "阿斯托尔福" 	# Astolfi
  "巴尔托利" 	# Bartoli
  "巴泰斯蒂" 	# Batesti
  "比安基尼" 	# Biancchini
  "波拿巴" 	# Buonaparte
  "卡尔迪" 	# Cardi
  "卡斯泰利" 	# Castelli
  "切卡尔迪" 	# Ceccaldi
  "切萨里" 	# Cesari
  "奇普里亚尼" 	# Cipriani
  "科隆纳" 	# Colonna
  "科尔索费耶鲁" 	# Corsofieru
  "古基" 	# Cucchi
  "德拉 罗卡" 	# Della Rocca
  "德拉 塞拉" 	# Della Serra
  "弗朗西斯凯提" 	# Franceschetti
  "弗朗西斯基尼" 	# Franceschini
  "格拉菲利" 	# Grafferi
  "格拉齐亚尼" 	# Graziani
  "圭多尼" 	# Guidoni
  "莱卡" 	# Leca
  "卢基尼" 	# Lucchini
  "卢恰尼" 	# Luciani
  "曼奇尼" 	# Mancini
  "马尔卡吉" 	# Marcaggi
  "马利安尼" 	# Mariani
  "蒙多利尼" 	# Mondolini
  "莫拉基尼" 	# Moracchini
  "纳塔利尼" 	# Natalini
  "奥尔西尼" 	# Orsini
  "奥尔索尼" 	# Orsoni
  "帕拉佐" 	# Palazzo
  "保利" 	# Paoli
  "佩雷蒂" 	# Peretti
  "拉法埃利" 	# Raffaeli
  "里瓦罗拉" 	# Rivarola
  "罗西" 	# Rossi
  "萨利切提" 	# Salicetti
  "桑皮耶罗" 	# Sampiero
  "桑圭内蒂" 	# Sanguinetti
  "桑托尼" 	# Santoni
  "斯卡尔本基" 	# Scarbonchi
  "托雷" 	# Torre
}
ship_names = {
  "海风" 	# Aria Marina
  "惊艳" 	# Attunante
  "蟑螂" 	# Bucarone
  "科西嘉" 	# Corsica
  "自豪的科西嘉人" 	# Corso Fieru
  "小舟" 	# Galleotta
  "格雷大风" 	# Gregale
  "独立" 	# Independenzia
  "不屈" 	# Indumevule
  "不折" 	# Inflessibile
  "大胆" 	# Intraprendente
  "利比锡奥风" 	# Libecciu
  "自由" 	# Libertà
  "黎凡特" 	# Livante
  "榨汁机" 	# Maria
  "密史脱拉风" 	# Maistrale
  "国族" 	# Nazione
  "骄傲" 	# Orgugliosu
  "爱国者" 	# Patriota
  "但愿长久" 	# Pruch'ella Duri
  "西风" 	# Punente
  "圣安尼奥·迪·帕多瓦" 	# St'Antonio di Padova
  "圣亚伯" 	# Sant'Abele
  "圣阿佩贝" 	# Sant'Apebe
  "圣布里吉塔" 	# Santa Brigita
  "圣布里齐奥" 	# Santu Briziu
  "圣艾智德" 	# Sant'Egidiu
  "圣施洗约翰" 	# Santu Ghjambattista
  "圣兰德里克" 	# Santu Landericu
  "圣兰弗兰克" 	# Santu Lanfrancu
  "圣茅罗" 	# Santu Mauru
  "圣普正珍" 	# Santa Prudenzia
  "圣普鲁塔西奥" 	# Santu Prutasiu
  "圣特蕾莎" 	# Santa Teresa
  "圣塔西娅娜" 	# Santa Tassiana
  "圣塔维阿诺" 	# Santu Tavianu
  "圣齐塔" 	# Santa Zita
  "至圣受胎" 	# Santissima Concezzione
  "狂风击打" 	# Sbuffulera
  "和风" 	# Scioru
  "西罗科风" 	# Sciroccu
  "光屁股" 	# Sculapratu
  "星辰" 	# Stella
  "可怖" 	# Terribile
  "霸王" 	# Terrore
  "可畏" 	# Timevule
  "暴风" 	# Timpesta
  "北风" 	# Tramuntana
  "雷击" 	# Tunizata
  "大风" 	# Ventizata
}
