4125 = "Solník"
12 = "科达"  # Kodan
379 = "耶路撒冷"  # Jeruzalém
382 = "大马士革"  # Damashek
384 = "麦地那"  # Medína
1177 = "梅斯"  # Kapské Mesto
1744 = "安特卫普"  # Antverpy
1757 = "上普法尔茨"  # Horní Falc
1759 = "波茨坦"  # Postupim
1760 = "科布伦茨"  # Koblenec
1770 = "拉库西"  # Dolní Rakousy
1771 = "鲁多霍里"  # Rudohorí
1742 = "Vápnohrad"
1745 = "坎塔布里亚"  # Kantábrie
1761 = "普法尔茨"  # Falc
1772 = "普雷斯堡"  # Bratislava
1858 = "斯德丁"  # Shtetín
1863 = "什蒂尔斯基-赫拉德茨"  # Shtýrský Hradec
1866 = "那慕尔"  # Namur
1868 = "奥格斯堡"  # Aushpurk
1874 = "布雷米"  # Brémy
1864 = "绍莫代"  # Shomod
1865 = "根特"  # Gent
1878 = "卡希"  # Cáchy
1934 = "卢卡尼恩"  # Lukánie
1936 = "科夫诺"  # Kovno
268 = "摩尔达维亚"  # Sucava
148 = "马其顿"  # Solun
3004 = "阿尔隆"  # Arlon
4381 = "Transysla"
770 = "布拉斯拉夫"  # Braslav
2025 = "南乔治亚"  # Jizhní Georgie
48 = "科沃布"  # Kolobreh
2969 = "施特恩贝克"  # Hvezdny Hora
2966 = "赫洛霍夫"  # Hlohov
2956 = "斯特洛丙亚"  # Shtrubina
2967 = "海布"  # Cheb
2968 = "布杰约维采"  # Budejovice
2970 = "Hradec Králové"
1318 = "斯皮什"  # Spish
2960 = "新萨德茨"  # Nový Sadec
2965 = "沃格特兰"  # Saská Kamenice
46 = "罗斯托克"  # Roztoky
2982 = "叙拉古"  # Syrakúsy
4709 = "帕萨瓦"  # Pasov
4710 = "Brezhnice"
4712 = "科斯特尼采"  # Kostnice
4716 = "Koburk"
4720 = "热内瓦"  # Zheneva
4741 = "Dobrosol"
4748 = "布兰尼博"  # Branibor
4762 = "维德尼斯基森林"  # Vídenský Les
4765 = "米尔胡齐"  # Mylhúzy
4778 = "兹霍热莱茨"  # Zhorelec
143 = "阿尔巴尼亚"  # Vlára
4174 = "德拉奇"  # Drach
4141 = "Severní Frísko"
4236 = "特伦钦"  # Trencín
4237 = "奥洛穆克"  # Olomouc
4238 = "莱赫尼采"  # Lehnice
4239 = "别莱赫拉德"  # Belehrad
4247 = "奥夫鲁卡"  # Ovruc
4382 = "Groninky"
4383 = "芳贺"  # Haga
4526 = "Hnezdno"
4528 = "Kujavsko"
4529 = "Jasy"
4531 = "布加勒斯特"  # Bukuresht
4533 = "韦伦"  # Velun
4541 = "Halyc"
150 = "Plevno"
73 = "蒂罗尔"  # Tyrolsko
128 = "克恩顿"  # Korutany
1768 = "利内茨"  # Východní Tyrolsko
42 = "瓦尔米亚"  # Varmie
43 = "格但斯克"  # Gdansk
269 = "帕勒克"  # Podlesko
2997 = "Slupsk"
279 = "沃伦"  # Volyn
282 = "Odesa"
283 = "Záporozhí"
285 = "费奥多西亚"  # Feodosija
289 = "切尔尼戈夫"  # Cernihov
291 = "哈尔科夫"  # Charkov
1942 = "Zhytomyr"
1943 = "Braclav"
1944 = "切尔卡瑟"  # Cerkasy
1952 = "Zakarpatsko"
2407 = "Perejaslav"
2406 = "Mykolajiv"
2410 = "Sevastopol"
2412 = "Mariupol"
2411 = "Dnipropetrovsk"
2413 = "Doneck"
2409 = "Luhansk"
2961 = "利沃夫"  # Lvov
2962 = "罗夫内"  # Rovno
344 = "马拉喀什"  # Marrákésh
354 = "Tripolis"
356 = "Benghází"
358 = "亚历山德列"  # Alexandrie
361 = "开罗"  # Káhira
1096 = "佛得角群岛"  # Kapverdy
1102 = "毛里求斯"  # Maurícius
1126 = "象牙海滩"  # Pobrezhí Slonoviny
1794 = "Strední Sahara"
1795 = "Východní Sahara"
1273 = "Kena"
3021 = "Rovníková Guinea"
4020 = "科摩罗"  # Komory
1306 = "圣托马斯"  # Svatý Tomáš a Princuv ostrov
2315 = "苏伊士"  # Suez
147 = "色萨利"  # Thessálie
320 = "罗得岛"  # Rodos
4699 = "埃托利亚"  # Aitólie
13 = "石勒苏益格"  # Shlesvicko
2964 = "旧马尔卡"  # Stará marka
58 = "安哈特"  # Anhaltsko
63 = "亚罗布罗德"  # Durynsko
67 = "纽伦堡"  # Norimberk
70 = "Wurttembursko"
74 = "巴登"  # Bádensko
82 = "威斯特法尔斯科"  # Vestfálsko
83 = "拿骚"  # Nasavsko
1775 = "荷尔斯泰因"  # Holshtýnsko
1857 = "劳恩堡"  # Lauenbursko
64 = "Dolní Bavorsko"
155 = "Békésh"
1953 = "Sabolc"
129 = "卡尔尼奥拉"  # Kransko
131 = "Záhreb"
137 = "杜布罗夫尼克"  # Dubrovník
139 = "Hercegovina"
140 = "波斯尼亚"  # Bosna
152 = "瓦拉日丁"  # Varazhdín
1767 = "斯拉沃尼亚"  # Slavonie
1827 = "拉什卡"  # Rashka
1954 = "Vojvodina"
3000 = "Nish"
75 = "斯特拉斯堡"  # Alsasko
89 = "皮卡第"  # Pikardie
172 = "Loira"
174 = "阿克维塔涅"  # Gaskonsko
175 = "阿马尼亚克"  # Armanak
189 = "洛林"  # Lotrinsko
1247 = "科西嘉"  # Korsika
94 = "卢森堡"  # Lucembursko
1931 = "东弗里斯克"  # Východní Frísko
253 = "西部群岛"  # Venkovní Hebridy
207 = "阿斯图里亚斯"  # Asturie
366 = "卡纳利"  # Kanárské ostrovy
367 = "亚速尔"  # Azory
1 = "Shtokholm"
15 = "Strední Jutsko"
370 = "Reykjavík"
1804 = "Východní Grónsko"
1930 = "Alandy"
1978 = "设得兰"  # Shetlandy
1979 = "法罗"  # Faerské ostrovy
1984 = "Severní Jutsko"
3043 = "Západní Grónsko"
33 = "Petrohrad"
34 = "Ingria"
275 = "Polock"
287 = "Krasnodar"
288 = "下顿河"  # Ust-Medvedickaja
297 = "Briansk"
299 = "沃罗涅日"  # Voronezh
301 = "梁赞"  # Riazan
308 = "雅罗斯拉夫尔"  # Jaroslavl
309 = "Olonec"
311 = "Cholm"
313 = "Archangelsk"
2201 = "Majkop"
464 = "Astrachan"
466 = "Kamyshin"
475 = "Bashkortostan"
716 = "Belocarsk"
1033 = "萨哈林"  # Jizhní Sachalin
1034 = "堪察加"  # Kamcatka
1035 = "Penzhina"
1037 = "Ojmakon"
1038 = "Karalvejem"
1039 = "Verchojansk"
1040 = "Suntar Chajata"
1041 = "Gizhiga"
1042 = "Sacha"
1043 = "Ochotsk"
1044 = "Taujsk"
1045 = "Jakut"
1046 = "Maja"
1047 = "Ajan"
4658 = "Severní Sachalin"
1049 = "Chabarovsk"
1050 = "Nikolajev-on-Amur"
1052 = "Stanovoj"
1054 = "Muchtuja"
1055 = "Verchneangarsk"
1057 = "Verchneudinsk"
1059 = "东通古斯"  # Východní Tunguska
1061 = "西通古卡"  # Západní Tunguska
1065 = "Kuzneck"
1067 = "Turuchan"
1075 = "Tumen"
1078 = "Jekaterinburg"
1752 = "勒热夫"  # Rzhev
1755 = "Ustiug"
1776 = "Karélie"
1955 = "Cholmogory"
1957 = "卡利什"  # Galic
1959 = "Torzhok"
1962 = "Izhevsk"
1966 = "Celjabinsk"
1971 = "Caricyn"
2425 = "Nenec"
2195 = "Ubychia"
2198 = "Chundzia"
1048 = "Mijú Gasan"
1850 = "Jaran"
2408 = "Lipeck"
2419 = "Kanadej"
2444 = "Bashgird"
2427 = "Ostiaki"
2749 = "Tichvin"
2428 = "Jugan"
1066 = "Altaj"
2431 = "Ucamin"
2432 = "Culym"
2446 = "Cara"
2435 = "Nuchtuj"
2436 = "Cuna"
2438 = "Charia"
2439 = "Jarmanka"
36 = "Estonsko"
39 = "Kuronsko"
41 = "Královec"
156 = "Temeshvár"
157 = "Bihár"
158 = "玛如斯"  # Muresh
160 = "奥尔特尼亚"  # Menshí Valashsko
161 = "Velké Valashsko"
1756 = "比萨拉比亚"  # Besarábie
4706 = "Dobrudzha"
385 = "Mekka"
390 = "Saná"
395 = "卡塔尔"  # Katar
400 = "马斯喀特"  # Maskat
428 = "Teherán"
451 = "Kábul"
2340 = "Kuvajt"
2205 = "Nachicevan"
557 = "Káthmandu"
726 = "沈阳"  # Shen-Jang
732 = "Jižní Hamgyeong"
2694 = "Východní Gangwon"
2745 = "Východní Gyeongsang"
1787 = "Himaláje"
1816 = "北京"  # Peking
1821 = "南京"  # Nanking
1845 = "Jižní Pyongan"
508 = "克什米尔"  # Kashmír
685 = "扬州"  # Jangžu
4227 = "Západní Gyeongsang"
734 = "Západní Gangwon"
2744 = "Severní Pyongan"
2743 = "Severní Hamgyeong"
1085 = "Tasmánie"
1087 = "Viktórie"
1089 = "Nový Jižní Wales"
1091 = "Jižní Queensland"
1242 = "斐济群岛"  # Fidzhi
1986 = "新喀里多尼亚"  # Nová Kaledonie
1987 = "社会群岛"  # Ostrovy Spoleènosti
1993 = "马绍尔群岛"  # Marshallovy ostrovy
1995 = "密克罗尼西亚"  # Mikronésie
1998 = "圣诞岛"  # Vánocní ostrov
1999 = "科科斯群岛"  # Kokosové ostrovy
3050 = "Strzeleckiho poush�"
3052 = "Strední Queensland"
3056 = "Velká Viktóriina pouš�"
482 = "巴哈马"  # Bahamy
483 = "Turks a Caicos"
487 = "牙买加"  # Jamajka
492 = "波多黎各"  # Portoriko
493 = "圣托马斯"  # Svatý Tomásh
494 = "圣克里斯多夫"  # Svatý Martin
495 = "Svatý Kryštof"
498 = "马提尼克"  # Dominika
500 = "圣文森特"  # Svatá Lucia
837 = "Nikaragua"
2937 = "Surinam"
772 = "Uruguaj"
837 = "Nikaragua"
956 = "Filadelfie"
972 = "Viktóriin ostrov"
989 = "Ontário"
1095 = "福克兰群岛"  # Falklandy
1098 = "圣海伦娜"  # Svatá Helena
1240 = "夏威夷"  # Havaj
1807 = "Baffinuv ostrov"
1810 = "Aljashka"
1812 = "Severozápadní teritoria"
2002 = "加拉帕戈斯"  # Galapágy
3057 = "Svatý Vincent"
2022 = "Ostrovy královny Šarloty"
40 = "克莱佩达"  # Klajpeda
52 = "德文"  # Devín
55 = "奥尔登堡"  # Oldenburk
69 = "上施瓦本"  # Horní Svabsko
79 = "维尔茨堡"  # Vircpurk
130 = "伊斯特拉"  # Istrie
149 = "德林诺波尔"  # Drinopol
184 = "奥尔良"  # Orleán
203 = "利翁"  # Lyon
209 = "比斯开"  # Biskajsko
271 = "兹穆德"  # Zmud
292 = "莫吉廖夫"  # Mohylev
306 = "下诺夫哥罗德"  # Dolní Novgorod
369 = "奥克尼"  # Orkneje
379 = "Jeruzalém"
396 = "巴林"  # Bahrajn
410 = "巴格达"  # Bagdád
481 = "百慕大"  # Bermudy
499 = "圣卢西亚"  # Svatá Lucie
522 = "德里"  # Dillí
524 = "中多阿布"  # Strední Doab
529 = "北孔坎"  # Severní Konkan
530 = "南孔坎"  # Jizní Konkan
531 = "北卡纳拉"  # Severní Kanara
546 = "东贝拉尔"  # Vychodní Berar
548 = "西贝拉尔"  # Zapadní Berar
556 = "下多阿布"  # Dolní Doab
561 = "孟加拉三角洲"  # Bengálská delta
574 = "安达曼群岛"  # Andamany
635 = "西帝汶"  # Zapadní Timor
636 = "文莱"  # Brunej
667 = "广州"  # Kanton
668 = "澳门"  # Macao
676 = "日喀则"  # Zikace
679 = "成都"  # Ccheng-tu
680 = "重庆"  # Cchung-cching
683 = "南昌"  # Nan-cchang
684 = "杭州"  # Chang-cou
686 = "安庆"  # An-cching
687 = "南阳"  # Nan-jang
688 = "开封"  # Kchaj-feng
689 = "汉中"  # Chan-cung
690 = "青州"  # Cching-cou
696 = "保定"  # Pao-ting
697 = "大同"  # Ta-tchung
698 = "宁夏"  # Ning-sia
699 = "兰州"  # Lan-cou
700 = "西安"  # Si-an
727 = "瑷珲"  # Ajgun
762 = "圣托马斯"  # Svatý Tomás
767 = "奥特尔斯堡"  # Ortelsburk
770 = "Braslav"
1020 = "京都"  # Kjoto
1032 = "库里利"  # Kurily
1099 = "索科特拉岛"  # Sokotra
1119 = "胡椒海岸"  # Peprové pobrezí
1139 = "黄金海岸"  # Zlaté pobrezí
1164 = "喀麦隆"  # Kamerun
1173 = "纳米比亚"  # Namíbie
1195 = "莫桑比克"  # Mosambik
1205 = "摩加迪沙"  # Mogadisu
1238 = "所罗门群岛"  # Salamounovy ostrovy
1244 = "甘比尔群岛"  # Gambierovy ostrovy
1248 = "马尔代夫"  # Maledivy
1724 = "林堡"  # Limburk
1765 = "索菲亚"  # Sofie
1769 = "戈里策"  # Gorice
1773 = "亚该亚"  # Achaja
1822 = "苏州"  # Su-cou
1824 = "温州"  # Wen-cou
1828 = "下克拉伊"  # Dolní Kraj
1833 = "吉安"  # Ti-an
1836 = "洛阳"  # Luo-jang
1838 = "合肥"  # Che-fej
1840 = "桂林"  # Kuej-lin
1841 = "马尔堡"  # Malbork
1856 = "阿布哈兹"  # Abcházie
1859 = "赫鲁姆诺"  # Chlumno
1869 = "苏黎世"  # Curych
1870 = "圣加仑"  # Svaty Havel
1871 = "瓦莱州"  # Valais
1881 = "圣马丁"  # Svatý Martin
1935 = "米塔瓦"  # Mitava
1945 = "塞维列"  # Severie
1988 = "复活节岛"  # Velikonocní ostrov
1991 = "吉尔伯特群岛"  # Gilbertovy ostrovy
2029 = "南卡纳拉"  # Jizní Kanara
2060 = "上多阿布"  # Horni Doab
2124 = "叶尔羌"  # Jarkend
2129 = "羌塘"  # Changthang
2131 = "昌都"  # Chamdo
2137 = "大名"  # Ta-ming
2139 = "莱州"  # Lan-cou
2140 = "兖州"  # Jang-cou
2142 = "淮安"  # Chuaj-an
2143 = "凤阳"  # Feng-jang
2144 = "阜阳"  # Fu-jang
2145 = "镇江"  # Cen-tiang
2147 = "徽州"  # Chuej-cou
2149 = "宁波"  # Ning-po
2150 = "金华"  # Tin-chua
2163 = "柳州"  # Liou-cou
2164 = "南宁"  # Nan-nin
2165 = "普洱"  # Pchu-er
2167 = "丽江"  # Li-tiang
2168 = "播州"  # Po-cou
2171 = "襄阳"  # Siang-jang
2172 = "荆州"  # Ting-cou
2174 = "衡阳"  # Cheng-jang
2176 = "商丘"  # Sang-cchiou
2179 = "延安"  # Jen-an
2180 = "天水"  # Tchien-suej
2181 = "平凉"  # Pching-liang
2184 = "西宁"  # Si-ning
2313 = "安条克"  # Antiochie
2424 = "普热米斯尔"  # Premysl
2954 = "杰尔巴"  # Dzerba
2958 = "奥斯特鲁达"  # Ostroda
2959 = "塔尔努夫"  # Tarnov
2975 = "克雷夫"  # Klévsko
4124 = "卡累利阿"  # Karélie
