1 = "斯德哥尔摩"  # Sztokholm
1945 = "谢维尔"  # Siewierszczyzna
1952 = "马拉马罗什"  # Zakarpacie
1955 = "赫尔莫戈雷"  # Cholmogory
1959 = "托尔若克"  # Torzok
1960 = "奥斯特鲁夫"  # Ostrow
1972 = "乌德穆尔特"  # Udmurcja
1974 = "赫尔松"  # Cherson
1978 = "设得兰"  # Szetlandy
1979 = "法罗群岛"  # Wyspy Owcze
1983 = "洛兰迪亚"  # Lolandia
1986 = "Nowa Kaledonia"
268 = "苏恰瓦"  # Suczawa
148 = "萨洛尼基"  # Saloniki
4815 = "新加坡"  # Singapur
3021 = "Gwinea Równikowa"
4020 = "科摩罗"  # Komory
2025 = "Georgia Poludniowa"
3054 = "波美拉尼亚"  # Pomerelia
2426 = "Norylsk"
770 = "布拉斯拉夫"  # Braslaw
3061 = "布科维纳"  # Bukowina
2997 = "图霍拉"  # Pomorze Gdanskie
463 = "切尔克西亚"  # Czerkiesja
2203 = "Kachetia"
2307 = "Wan"
2309 = "Sindzar"
2202 = "卡拉巴赫"  # Karabach
2313 = "安提俄基亚"  # Antiochia
2367 = "乌拉尔山"  # Dolny Ural
2366 = "乌特瓦"  # Utwa
2369 = "Górny Iszym"
2323 = "Pustynia Nubijska"
2753 = "纳博讷"  # Narbona
2424 = "普热梅希尔"  # Przemysl
2746 = "维丁"  # Widyn
2750 = "Plowdiw"
771 = "维捷布斯克"  # Witebsk
2407 = "佩列亚斯拉夫"  # Perejaslaw
2406 = "奥恰库夫"  # Mikolajów
2410 = "特奥多罗"  # Sewastopol
2412 = "梅利托波尔"  # Mariupol
2411 = "库达克"  # Dniepropetrowsk
2413 = "卢甘斯克"  # Lugansk
2409 = "巴赫姆特"  # Donieck
2408 = "利佩茨克"  # Lipieck
767 = "维斯特鲁奇"  # Wystruc
2749 = "季赫温"  # Tichwin
2440 = "阿纳德尔"  # Anadyr
2529 = "奥斯特鲁达"  # Ostroda
2558 = "斯武普斯克"  # Slupsk
48 = "科沃布热格"  # Kolobrzeg
2969 = "鲁布什"  # Torzym
2966 = "格沃古夫"  # Glogów
2958 = "奥斯特鲁达"  # Ostróda
3100 = "什奇特诺"  # Szczytno
2967 = "海布"  # Cheb
2968 = "捷克布杰约维采"  # Budziejowice
2970 = "赫拉德茨"  # Hradec
1318 = "斯匹什"  # Spisz
2959 = "塔尔努夫"  # Tarnów
2961 = "利沃夫"  # Lwów
3002 = "萨拉热窝"  # Sarajewo
2965 = "Kamienica Saska"
52 = "杰文"  # Dziewin
46 = "罗斯托卡"  # Roztok
47 = "斯特沙鲁夫"  # Strzalów
2993 = "普热斯瓦夫"  # Marchia Wkrzanska
2979 = "Nowara"
2982 = "叙拉古兹"  # Syrakuzy
4141 = "迪特马尔斯克"  # Ditmarsk
4701 = "Korynt"
4703 = "Kiustendil"
4709 = "帕萨瓦"  # Pasawa
4710 = "布雷根西亚"  # Bregencja
4712 = "康斯坦恰"  # Konstancja
4715 = "Rozbork"
4720 = "盖内瓦"  # Genewa
4726 = "俄斯特拉发"  # Ostrawa
4728 = "帕维亚"  # Pawia
4729 = "帕多瓦"  # Padwa
4730 = "博洛尼亚"  # Bolonia
4741 = "Dobrogóra"
4744 = "茨维库夫"  # Cwików
4745 = "卢基"  # Rugia
4747 = "德拉夫斯科"  # Drawsko
4748 = "Branibór"
4749 = "Nowy Branibór"
4750 = "克鲁雅"  # Kruja
4751 = "采列"  # Celje
4759 = "上卡伦蒂亚"  # Górna Karyntia
4762 = "Las Wiedenski"
4765 = "米卢扎"  # Miluza
4786 = "Przegnica"
4778 = "兹戈尔泽利采"  # Zgorzelec
4780 = "Ochryda"
3147 = "Segedyn"
4116 = "奥多霍"  # Odojew
4125 = "索尔尼克"  # Solnok
4126 = "巴奇卡"  # Baczka
4128 = "Królewszczyzna"
4123 = "Pirkany"
4147 = "罗斯托夫"  # Rostów
4236 = "特伦钦"  # Trenczyn
4237 = "奥洛穆涅茨"  # Olomuniec
4238 = "利格尼察"  # Legnica
4239 = "贝尔格莱德"  # Belgrad
4241 = "基耶斯"  # Kies
4242 = "乌拉"  # Ulla
4243 = "托罗佩茨"  # Toropiec
4244 = "特鲁布切夫斯克"  # Trubczewsk
4246 = "姆斯齐斯拉夫"  # Mscislaw
4247 = "奥夫鲁赤"  # Owrucz
4248 = "卡辛"  # Kaszyn
4249 = "祖布考"  # Zubcow
4256 = "Solwyczegodsk"
4259 = "Wielsk"
4263 = "Soligalicz"
4265 = "Czelny"
4271 = "Suwajda"
4299 = "Szamachi"
4305 = "Szeki"
3243 = "Sjunik"
4364 = "Hebrydy Wewnetrzne"
4383 = "海牙"  # Haga
4528 = "Kujawy"
4529 = "Jassy"
4531 = "Bukareszt"
4535 = "Wilkomierz"
4537 = "Nowogródek"
4539 = "Krzemieniec"
4541 = "Halicz"
4542 = "Lubnie"
3249 = "Bielce"
150 = "Plewna"
3250 = "Warna"
4565 = "Teneryfa"
2103 = "Czumikan"
4689 = "Omsk"
4690 = "Dolny Iszym"
1930 = "Wyspy Alandzkie"
1984 = "Jutlandia Pólnocna"
3008 = "Dania Poludniowa"
102 = "Nicea"
172 = "Loara"
174 = "Gaskonia"
178 = "Andegawenia"
186 = "Szampania"
204 = "Delfinat"
205 = "Sabaudia"
207 = "Asturia"
210 = "Nawarra"
215 = "Stara Kastylia"
216 = "Salamanka"
217 = "Madryt"
220 = "Walencja"
221 = "Murcja"
225 = "Kordoba"
333 = "Baleary"
1749 = "Kadyks"
227 = "里斯本"  # Lizbona
73 = "Tyrol"
76 = "Solnogród"
128 = "Karyntia"
132 = "Styria"
1768 = "Tyrol Wschodni"
1770 = "Marchia Wschodnia"
129 = "克拉尼"  # Kraina
1769 = "戈里齐亚"  # Gorycja
1831 = "Trawunia"
1954 = "Wojwodina"
3000 = "Nisz"
143 = "Wlora"
138 = "Czarnogóra"
142 = "Korfu"
147 = "Tesalia"
320 = "Rodos"
321 = "Cypr"
1773 = "Achaja"
3003 = "Eubea"
4699 = "Etolia"
158 = "Siedmiogród"
160 = "Mala Woloszczyzna"
4706 = "Dobrudza"
149 = "Adrianopol"
151 = "君士坦丁堡"  # Konstantynopol
2205 = "Nachiczewan"
101 = "Genua"
108 = "Werona"
110 = "特伦托"  # Trydent
115 = "Piza"
118 = "Rzym"
119 = "Ankona"
120 = "Abruzja"
121 = "Neapol"
123 = "Kalabria"
124 = "Mesyna"
1934 = "Lukania"
2980 = "Lukka"
236 = "Londyn"
247 = "Kumbria"
165 = "伯尔尼"  # Berno
1867 = "Vaud"
1869 = "苏黎世"  # Zurych
1871 = "Valais"
233 = "Kornwalia"
354 = "Trypolis"
358 = "Aleksandria"
361 = "Kair"
365 = "Synaj"
384 = "Medyna"
2331 = "Dzudda"
318 = "Smyrna"
378 = "Bejrut"
379 = "Jerozolima"
382 = "Damaszek"
384 = "Medyna"
385 = "Mekka"
390 = "Sana"
395 = "Katar"
400 = "Maskat"
410 = "Bagdad"
457 = "Taszkient"
567 = "Srihotto"
2340 = "Kuwejt"
1854 = "Akka"
32 = "普里奥焦尔斯克"  # Prioziersk
33 = "涅瓦"  # Newa
34 = "因格里亚"  # Ingria
286 = "亚速"  # Azow
288 = "Czerkask"
303 = "萨拉托夫"  # Saratów
302 = "坦波夫"  # Tambow
306 = "下诺夫哥罗德"  # Nizny Nowogród
307 = "沃齐米日"  # Wlodzimierz
309 = "奥洛涅茨"  # Oloniec
314 = "沃洛格达"  # Wologda
464 = "阿斯特拉罕"  # Astrachan
466 = "萨莱"  # Saraj
468 = "马尼奇"  # Manycz
1078 = "Jekaterynburg"
1079 = "Wiatka"
1080 = "Sierow"
1081 = "辛比尔斯克"  # Symbirsk
1083 = "韦特卢加"  # Wietluga
1755 = "乌斯秋格"  # Ustiug
1756 = "Besarabia"
1776 = "Kiem"
1842 = "纳尔瓦"  # Narwa
1963 = "Czerdyn"
1966 = "车里雅宾斯克"  # Czelabinsk
1971 = "察里津"  # Carycyn
1957 = "加利奇"  # Galicz
1962 = "Izewsk"
1964 = "Syktywkar"
2414 = "季霍列茨克"  # Tichorieck
2415 = "霍皮奥尔"  # Chopior
2416 = "Stawropol"
2418 = "Pokrowsk"
2419 = "塞兹兰"  # Syzran
2420 = "阿吉代尔"  # Orenburg
2421 = "奇斯托波尔"  # Czystopol
2422 = "切博克萨雷"  # Czeboksary
2424 = "Przemysl"
2427 = "别洛亚尔斯基"  # Bielojarskij
2444 = "兹拉托乌斯特"  # Zlatoust
2962 = "鲁夫内"  # Równe
4115 = "莫济日"  # Mozyrz
4117 = "别热茨克"  # Biezeck
4122 = "申库尔斯克"  # Szenkursk
4129 = "旧彼尔姆"  # Stary Perm
New world colony names:  481 = " Bermudy "
482 = " Bahamy "
483 = " Wyspy Kaktusowe "
484 = " Hawana "
485 = " Fort Cukrowy "
486 = " Guantanama "
487 = " Wyspa Ksiazeca  "
488 = " Zatoka Koralowa "
489 = " Zólwia Wyspa "
490 = " Swieta Dominika "
491 = " Fort Czartoryski "
492 = " Królewski Port "
493 = " Wyspa Sw Stefana "
494 = " Wyspa Sw Marcina "
495 = " Wyspa Sw Benedykta "
496 = " Wyspa Sw Szymona "
497 = " Wyspa Sw Wojciecha "
498 = " Wyspa Piratów "
499 = " Martynika "
500 = " Wyspa Sw Andrzeja "
501 = " Figowo "
502 = " Nowa Kurlandia "
741 = " Stefanowo "
2804 = " Canowalki "
743 = " Nowy Hel "
744 = " Rowy "
2937 = " Fort Surinamu "
746 = " Kajena "
747 = " Nowy Puck "
748 = " Betlejem "
749 = " Kosakowo "
2926 = " Ziemia Stara "
751 = " Twierdza "
752 = " Bielec "
753 = " Pruszcz Pólnocny "
755 = " Sztygary "
2921 = " Pruszcz Pólnocny "
756 = " Swietoszewo "
757 = " Lukowiec "
758 = " Glinsk "
759 = " Diamentówek "
760 = " Magnatowo "
761 = " Kolchowice "
762 = " Nowy Lwów  "
763 = " Jaroslawiec "
764 = " Pawlów  "
765 = " Lajkonik "
766 = " Nowe Kujawy "
2906 = " Dolinawy "
768 = " Mala Polska "
769 = " Malinowice "
2884 = " Rózomiersz "
2857 = " Kalocemósz "
772 = " Nowygród  "
773 = " Koprzywnica  "
2920 = " Piesoznan "
2888 = " Utóm "
775 = " Nowy Slask  "
2848 = " Dolina kwiatów "
778 = " Wiaterna "
779 = " Lisie doly  "
2870 = " Karszo "
2869 = " Poluwalki "
782 = " Ziemia Ognista "
783 = " Nowak "
784 = " Babie Doly  "
785 = " Rudnik "
2865 = " Gotek\n"
787 = " Poróg "
2845 = " Sw John "
2861 = " Balno\n"
790 = " Bronowicze "
791 = " Katamarka "
792 = " Choroszcze "
2841 = " Cnobosz "
794 = " Kononowicze  "
2940 = " Jasne góry "
796 = " Karakan "
2941 = " Górna Wisznia "
2942 = " Sedolzna "
799 = " Biala góra  "
800 = " Nowecin "
801 = " Sarbsko "
802 = " Walga "
803 = " Nizyce "
804 = " Warnów "
805 = " Legowo  "
806 = " Naska "
807 = " Redlowo "
808 = " Kuzko "
809 = " Pogórze "
810 = " Pyrzyce "
811 = " Wielka Glusza "
812 = " Bronica "
813 = " Lukowsko "
814 = " Radogoszcz "
2945 = " Zimotko "
816 = " Tartaków "
817 = " Lisznia "
818 = " Jablonka "
819 = " Obluze  "
820 = " Franciszków "
821 = " Chyrów "
822 = " Smolno "
823 = " Boza Wola "
824 = " Krasnobród "
825 = " Chmielów "
826 = " Baranów "
827 = " Moniuszki "
828 = " Wrzeszcz "
829 = " Port Madgalena  "
830 = " Witomino "
831 = " Grabówek "
832 = " Matarnia "
2812 = " Cukrawy "
834 = " Chylonia  "
835 = " Miedzymorze  "
836 = " Warzenko "
837 = " Bielinek "
838 = " Chalupy "
839 = " Panna Marja "
840 = " Kuznica "
841 = " Lublewo "
842 = " Telsze "
843 = " Wilkomierz "
844 = " Nowogród Zapotecki "
845 = " Sroki "
846 = " Lubar "
847 = " Gródek "
848 = " Pulaski "
849 = " Fort Husarz "
850 = " Soleczniki "
2624 = " Czarnochowice "
852 = " Nowe Gniezno "
853 = " Wozniak  "
854 = " Tepicza "
855 = " Maciejów "
856 = " Piszcza "
857 = " Nowe Zaporoze "
858 = " Tomaszówka "
859 = " Rozkladów  "
860 = " Pomaranczowe Góry "
861 = " Lipa  "
862 = " Wlodzimierz  "
863 = " Krzemieniec "
864 = " Komarówka "
865 = " Pólwysep Dickmanna "
866 = " Zaciesz "
867 = " Szeroko  "
868 = " Wisztyniec "
869 = " Krynica "
870 = " Mlynary "
871 = " Nowe Luzyce "
872 = " Sosnica "
873 = " Strzala "
874 = " Fort Chodkiewicz "
875 = " Boleslawiec "
876 = " Feniks "
877 = " Chynów "
878 = " Zatec "
879 = " Karniów "
880 = " Piaski  "
881 = " Swierczynowiec "
882 = " Likawa "
883 = " Suchy Dwór "
884 = " Nowa Karczma "
885 = " Zbychowo "
886 = " Debogórze "
887 = " Rzucewo "
888 = " Borowo "
889 = " Zielony Dwór "
890 = " Dobrylug "
891 = " Bialy Mlyn  "
892 = " Borowiec "
893 = " Nowy Gdansk "
894 = " Niezamysl "
895 = " Skalka "
896 = " Dworek "
897 = " Rzeczyn "
898 = " Kamienice "
899 = " Wiezyca "
900 = " Jantar "
901 = " Przelaje "
902 = " Grzegorzewo "
903 = " Nowa Kruszwica "
904 = " Hoza "
905 = " Szydlowicze "
906 = " Janówek "
907 = " Lipski "
908 = " Mineszyce "
909 = " Cieplice "
910 = " Czerwone Jezioro "
911 = " Makowo "
912 = " Kaczan "
913 = " Bozepole "
914 = " Mierzynko "
915 = " Królewskie wzgórze  "
916 = " Cetkowo "
917 = " Kwiaton "
918 = " Kielno "
919 = " Kurowo "
920 = " Kopan "
921 = " Kluki "
922 = " Reduta "
923 = " Kusice "
924 = " Santoczno "
925 = " Skupin "
926 = " Mierzynek "
927 = " Niszcza "
928 = " Fort Biskupa Edmunda "
929 = " Nowe Kaszuby  "
930 = " Letnica "
931 = " Matarnia "
932 = " Chocholów "
933 = " Czernin "
934 = " Kamica "
935 = " Goslaw "
936 = " Góra Biala "
937 = " Dobropole "
938 = " Sulominice "
939 = " Czarnoglowy "
940 = " Jaszyn "
941 = " Brzozowo "
942 = " Mszczuje "
943 = " Jasienica "
944 = " Rejtan "
945 = " Firlej "
946 = " Sadowski "
947 = " Weglów "
948 = " Dabie  "
949 = " Zeromski "
950 = " Janów "
951 = " Podgrodzie "
952 = " Fort Jana z Kolna "
953 = " Karsibór "
954 = " Koperników "
955 = " Wolczkowo "
956 = " Bialy Sad "
957 = " Nowe Wilno "
958 = " Cztery Klony  "
959 = " Przylesie  "
960 = " Bartlomino "
961 = " Fort Bojem "
962 = " Wyszczecino "
963 = " Debowiec "
964 = " Lozienica "
965 = " Nowy Kraków "
966 = " Giecz "
967 = " Zatoka Zwiru "
968 = " Gdynia "
969 = " Benedyktów "
2562 = " Wolkowyjsk "
971 = " Ryczyn "
972 = " Wyspa Kameleonów "
973 = " Dybowo "
974 = " Zatoka Szumów "
975 = " Wyspa Królewska "
976 = " Wyspa Piastów "
977 = " Góra Józefa "
978 = " Kotwicowisko "
979 = " Aleuty "
980 = "卡明斯基艾戈湾"  #  Zatoka Kaminskiego  
981 = "帕拉希诺"  #  Paraszyno 
982 = "特里格鲁瓦岛"  #  Wyspa Trzyglówa 
983 = "斯瓦罗奇查岛"  #  Wyspa Swarozyca 
984 = "科涅茨波尔斯基"  #  Koniecpolski 
985 = "扎尔诺沃"  #  Zarnowo 
986 = "纳尼策"  #  Nanice 
987 = "切斯尼纳索别斯杰戈"  #  Ciesnina Sobieskiego  
988 = "雅茨洛维茨基"  #  Jazlowiecki 
989 = "绰赫拉尔斯基"  #  Czochralski 
990 = "三河"  #  Trzy Rzeki 
991 = "切斯托沃"  #  Czestowo 
992 = "斯马日诺"  #  Smarzno 
993 = "特鲁彻沃"  #  Tluczewo 
994 = "皮尔苏德斯基"  #  Pilsudski 
995 = "毛尔"  #  Mawr 
996 = "维尔基拉斯"  #  Wielki Las 
997 = "卡舒恩"  #  Kaszun 
3262 = "维什尼维斯基"  #  Wisniowiecki 
1000 = "卡第里巴茨杰伊"  #  Katy Rybackiej  
1001 = "姆伊察"  #  Mójcza 
1002 = "波哥但察的兹比什卡堡"  #  Fort Zbyszka z Bogdanca 
1003 = "契摩维堡"  #  Fort Zimowy 
1004 = "扎维西堡"  #  Fort Zawiszy  
1005 = "克莱诺"  #  Krajno 
1006 = " Niwy "
1007 = "莫拉维查"  #  Morawica  
1008 = "沃丽察"  #  Wolica 
1009 = "米埃潜卡"  #  Miedzianka 
1010 = "拉索钦"  #  Lasocin 
1011 = "斯塔热霍维策"  #  Starzechowice 
1089 = "沃里布日"  #  Wolibórz 
1095 = "马岛"  #  Malwiny 
1104 = "欧珀赤诺"  #  Opoczno  
1105 = "普尔诺茨纳地"  #  Ziemia Pólnocna  
2595 = "法尔施丁"  #  Falsztyn 
2002 = "扎尔泽钦"  #  Zarzecin 
815 = "利京"  #  Lityn 
2811 = "博加特山"  #  Bogate Góry 
2928 = "萨多洛沃"  #  Sadorowo 
2889 = "耶雷什尼亚"  #  Jelesznia 
2910 = "卡沃里彻"  #  Kawolicze 
2900 = "维隆岑"  #  Wielondzn 
2934 = "扎罗斯涅第堡"  #  Zarosniety Zamek 
2930 = "斯塔拉丛林"  #  Stara Dzungla 
2025 = "柯日德洛维策"  #  Krzydlowice 
2019 = "温达瓦"  #  Windawa 
2020 = "什察夫尼克"  #  Szczawnik 
2506 = "莱格鲁德"  #  Rajgród 
2005 = "马拉霍维策"  #  Malachowiece 
2601 = "拉科维策"  #  Rakowice 
2606 = "克罗沃德沙"  #  Krowodrza 
2004 = "布洛宁"  #  Bronin 
1813 = " Unewel "
2018 = " Kietrz "
3057 = " Wyspa Sw Jadwigi "
2003 = " Baluty "
2007 = " Kozuby "
2008 = " Gawrony "
2009 = " Daszyna "
2010 = " Szubsk "
2011 = " Zielosztyn "
2012 = " Kazimierz "
2565 = " Aleksandrów "
2014 = " Wolodino "
2015 = " Hawierzów "
2016 = " Krasna "
2017 = " Bilowiec "
2021 = " Zamoyski "
2006 = " Tymienica "
2022 = " Wyspa Czaplak "
2023 = " Trzebnice "
2658 = " Dolinka "
2659 = " Srebrny Port "
2654 = " Miodowa Zatoka "
2655 = " Dewno "
2656 = " Wyspa Sw Marii "
2663 = "雅盖隆契克堡"  #  \nFort Jagiellonczyk\n
2660 = " Jezioro Weza "
2661 = " Amelowiec "
2640 = " Wielzno "
2662 = " Zolocin "
2637 = " Panarjnice "
2653 = " Sw Adalbert "
2636 = " Kowalewo "
2634 = " Newojina "
2652 = " Nowolina "
2633 = " Namosz "
2651 = " Tuluszna "
2650 = " Fort Aleksa "
2632 = " Strysza Buda "
2635 = " Bozanka "
2638 = " Zamek Sobieskiego "
2649 = " Zamóniesz "
2631 = " Kamienogoszc "
2630 = " Bieszkowice "
2629 = " Buczyno "
2646 = " Doignice "
2628 = " Hopy "
2647 = " Plasowina "
2644 = " Stertno "
2645 = " Marikosz "
2648 = " Góblce "
2627 = " Gadyn "
2623 = " Staniszewo "
851 = " Klif "
2643 = " Bienczyce "
2657 = " Alizna "
2621 = " Czyzyny "
2622 = " Lesince "
2626 = " Piaski Wielkie "
2615 = " Aleksandrowice "
2642 = " Pomieczyno "
2641 = " Kazilawek "
2664 = " Nadorko "
2819 = " Barszczaznowo "
2806 = " Punkt Szymona "
2817 = " Chenemieszcz "
2818 = " Nowa Wizna "
2814 = " Lusznia "
2815 = " Janodnik "
2816 = " Sw Eustachy "
2820 = " Spókomiesz "
2821 = " Wybrzeze Zygmunta "
2822 = " Kolibki "
2824 = " bialezotko "
2943 = " Jalodnik "
2823 = " Osiem Dolin "
2825 = " Walosznia "
2827 = " Lezotko "
2826 = " Syronka "
2944 = " Staroszna "
2830 = " Mónosz "
2829 = " Dalómnica "
2828 = " Fort Czeslawa "
2947 = " Worodnia "
2833 = " Melodin "
2832 = " Nolmlicz "
2834 = " Pisimole "
2882 = " Czarnic "
2835 = " Dobronin "
2838 = " Jódodz "
795 = " Suchodolsko  "
